assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date
GCA_000015225.1,PRJNA16331,SAMN02598366,,representative genome,368408,2269,Thermofilum pendens Hrk 5,strain=Hrk 5,,latest,Complete Genome,Major,Full,18/12/2006,ASM1522v1,DOE Joint Genome Institute,GCF_000015225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/225/GCA_000015225.1_ASM1522v1,,assembly from type material,na
GCA_017352095.1,PRJNA706550,SAMN18137902,,representative genome,370324,370324,Natrinema longum,strain=ABH32,,latest,Complete Genome,Major,Full,14/03/2021,ASM1735209v1,Jiangsu University,GCF_017352095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/352/095/GCA_017352095.1_ASM1735209v1,,assembly from type material,na
GCA_000019605.1,PRJNA16525,SAMN02598368,,na,374847,498846,Candidatus Korarchaeum cryptofilum OPF8,,,latest,Complete Genome,Major,Full,18/03/2008,ASM1960v1,US DOE Joint Genome Institute,GCF_000019605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/605/GCA_000019605.1_ASM1960v1,,,na
GCA_000015205.1,PRJNA16743,SAMN02598374,,representative genome,384616,2277,Pyrobaculum islandicum DSM 4184,strain=DSM 4184,,latest,Complete Genome,Major,Full,20/12/2006,ASM1520v1,DOE Joint Genome Institute,GCF_000015205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/205/GCA_000015205.1_ASM1520v1,,assembly from type material,na
GCA_000385565.1,PRJNA196460,SAMN02028569,,representative genome,387631,1316941,Archaeoglobus sulfaticallidus PM70-1,strain=PM70-1,,latest,Complete Genome,Major,Full,30/04/2013,ASM38556v1,"University of Bergen, Centre for Geobiology, Department of Biology",GCF_000385565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/565/GCA_000385565.1_ASM38556v1,,assembly from type material,na
GCA_000151105.2,PRJNA19379,SAMN02603625,,representative genome,391623,55802,Thermococcus barophilus MP,strain=MP,,latest,Complete Genome,Major,Full,17/12/2010,ASM15110v2,Moore Foundation,GCF_000151105.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/105/GCA_000151105.2_ASM15110v2,,assembly from type material,na
GCA_000018305.1,PRJNA17421,SAMN00623034,,representative genome,397948,76887,Caldivirga maquilingensis IC-167,strain=IC-167,,latest,Complete Genome,Major,Full,05/10/2007,ASM1830v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000018305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1,,assembly from type material,na
GCA_000016605.1,PRJNA17447,SAMN02598389,,na,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,,latest,Complete Genome,Major,Full,25/04/2007,ASM1660v1,US DOE Joint Genome Institute,GCF_000016605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1,unverified source organism; not used as type,,na
GCA_000015945.1,PRJNA17449,SAMN02598390,,representative genome,399550,2280,Staphylothermus marinus F1,strain=F1,,latest,Complete Genome,Major,Full,21/02/2007,ASM1594v1,US DOE Joint Genome Institute,GCF_000015945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/945/GCA_000015945.1_ASM1594v1,,assembly from type material,na
GCA_000016125.1,PRJNA17641,SAMN02598397,,na,402880,39152,Methanococcus maripaludis C5,strain=C5,,latest,Complete Genome,Major,Full,15/03/2007,ASM1612v1,DOE Joint Genome Institute,GCF_000016125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/125/GCA_000016125.1_ASM1612v1,,,na
GCA_000017165.1,PRJNA17889,SAMN02598403,,representative genome,406327,2187,Methanococcus vannielii SB,strain=SB,,latest,Complete Genome,Major,Full,29/06/2007,ASM1716v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000017165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/165/GCA_000017165.1_ASM1716v1,,assembly from type material,na
GCA_000281695.1,PRJNA89473,SAMN02603638,,na,406552,406552,Natrinema sp. J7-2,strain=J7-2,,latest,Complete Genome,Major,Full,25/07/2012,ASM28169v1,Nankai University,GCF_000281695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/695/GCA_000281695.1_ASM28169v1,,,na
GCA_000015765.1,PRJNA18109,SAMN00623052,,representative genome,410358,83984,Methanocorpusculum labreanum Z,strain=Z,,latest,Complete Genome,Major,Full,01/02/2007,ASM1576v1,DOE Joint Genome Institute,GCF_000015765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/765/GCA_000015765.1_ASM1576v1,,assembly from type material,na
GCA_000015805.1,PRJNA18111,SAMN00623060,,representative genome,410359,181486,Pyrobaculum calidifontis JCM 11548,strain=JCM 11548,,latest,Complete Genome,Major,Full,27/02/2007,ASM1580v1,DOE Joint Genome Institute,GCF_000015805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/805/GCA_000015805.1_ASM1580v1,,assembly from type material,na
GCA_000015145.1,PRJNA208,SAMN02604082,,representative genome,415426,54248,Hyperthermus butylicus DSM 5456,strain=DSM 5456,,latest,Complete Genome,Major,Full,22/01/2007,ASM1514v1,Univ. Copenhagen,GCF_000015145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1,,assembly from type material,na
GCA_000022205.1,PRJNA412908,SAMN02598407,,representative genome,416348,2247,Halorubrum lacusprofundi ATCC 49239,strain=ATCC 49239,,latest,Complete Genome,Major,Full,04/02/2009,ASM2220v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000022205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1,,assembly from type material,na
GCA_000017185.1,PRJNA18641,SAMN00623051,,representative genome,419665,42879,Methanococcus aeolicus Nankai-3,strain=Nankai-3,,latest,Complete Genome,Major,Full,29/06/2007,ASM1718v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000017185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/185/GCA_000017185.1_ASM1718v1,,assembly from type material,na
GCA_000022485.1,PRJNA18651,SAMN02598411,,na,419942,43080,Sulfolobus islandicus Y.N.15.51,strain=Y.N.15.51,,latest,Complete Genome,Major,Full,29/04/2009,ASM2248v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000022485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/485/GCA_000022485.1_ASM2248v1,,assembly designated as reftype,na
GCA_000016525.1,PRJNA18653,SAMN02604313,,representative genome,420247,2173,Methanobrevibacter smithii ATCC 35061,strain=ATCC 35061; PS; DSMZ 861,,latest,Complete Genome,Major,Full,04/06/2007,ASM1652v1,Washington University Center for Genome Sciences,GCF_000016525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1,,assembly from type material,na
GCA_028743435.1,PRJNA933644,SAMN33244397,,na,420247,2173,Methanobrevibacter smithii ATCC 35061,strain=DSM 861,,latest,Complete Genome,Major,Full,20/02/2023,ASM2874343v1,Zymo Research Corporation,GCF_028743435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/743/435/GCA_028743435.1_ASM2874343v1,,assembly from type material,na
GCA_000022445.1,PRJNA18807,SAMN02598414,,na,426118,43080,Sulfolobus islandicus M.16.4,strain=M.16.4,,latest,Complete Genome,Major,Full,27/05/2009,ASM2244v1,US DOE Joint Genome Institute,GCF_000022445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/445/GCA_000022445.1_ASM2244v1,,,na
GCA_000022405.1,PRJNA18871,SAMN02598416,,na,427317,43080,Sulfolobus islandicus M.14.25,strain=M.14.25,,latest,Complete Genome,Major,Full,24/04/2009,ASM2240v1,US DOE Joint Genome Institute,GCF_000022405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/405/GCA_000022405.1_ASM2240v1,,,na
GCA_000022425.1,PRJNA18873,SAMN02598417,,na,427318,43080,Sulfolobus islandicus M.16.27,strain=M.16.27,,latest,Complete Genome,Major,Full,29/04/2009,ASM2242v1,US DOE Joint Genome Institute,GCF_000022425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/425/GCA_000022425.1_ASM2242v1,,,na
GCA_000022385.1,PRJNA18987,SAMN02598420,,na,429572,43080,Sulfolobus islandicus L.S.2.15,strain=L.S.2.15,,latest,Complete Genome,Major,Full,24/04/2009,ASM2238v1,US DOE Joint Genome Institute,GCF_000022385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/385/GCA_000022385.1_ASM2238v1,,,na
GCA_000018465.1,PRJNA19265,SAMN00000032,,representative genome,436308,338192,Nitrosopumilus maritimus SCM1,strain=SCM1,,latest,Complete Genome,Major,Full,15/11/2007,ASM1846v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000018465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/465/GCA_000018465.1_ASM1846v1,,assembly from type material,na
GCA_000022465.1,PRJNA19487,SAMN02598422,,na,439386,43080,Sulfolobus islandicus Y.G.57.14,strain=Y.G.57.14,,latest,Complete Genome,Major,Full,29/04/2009,ASM2246v1,US DOE Joint Genome Institute,GCF_000022465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/465/GCA_000022465.1_ASM2246v1,,,na
GCA_000025665.1,PRJNA38403,SAMN02598523,,na,439481,379547,Aciduliprofundum boonei T469,strain=T469,,latest,Complete Genome,Major,Full,24/02/2010,ASM2566v1,US DOE Joint Genome Institute,GCF_000025665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/665/GCA_000025665.1_ASM2566v1,,,na
GCA_000019805.1,PRJNA15645,SAMN02598332,,representative genome,444157,70771,Pyrobaculum neutrophilum V24Sta,strain=V24Sta,,latest,Complete Genome,Major,Full,27/03/2008,ASM1980v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000019805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/805/GCA_000019805.1_ASM1980v1,,assembly from type material,na
GCA_000017945.1,PRJNA13914,SAMN02598324,,representative genome,453591,160233,Ignicoccus hospitalis KIN4/I,strain=KIN4/I,,latest,Complete Genome,Major,Full,29/08/2007,ASM1794v1,US DOE Joint Genome Institute,GCF_000017945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/945/GCA_000017945.1_ASM1794v1,,assembly from type material,na
GCA_000017625.1,PRJNA18505,SAMN02598409,,representative genome,456442,358766,Methanoregula boonei 6A8,strain=6A8,,latest,Complete Genome,Major,Full,26/07/2007,ASM1762v1,US DOE Joint Genome Institute,GCF_000017625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/625/GCA_000017625.1_ASM1762v1,,assembly from type material,na
GCA_000172995.2,PRJNA20743,SAMN00002580,,representative genome,469382,60847,Halogeometricum borinquense DSM 11551,strain=PR 3,,latest,Complete Genome,Major,Full,22/11/2010,ASM17299v2,US DOE Joint Genome Institute (JGI-PGF),GCF_000172995.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2,,assembly from type material,na
GCA_000069025.1,PRJNA106,SAMEA3138275,,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,,latest,Complete Genome,Major,Full,12/02/2008,ASM6902v1,Max Planck Institute,GCF_000069025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/025/GCA_000069025.1_ASM6902v1,,,na
GCA_000023965.1,PRJNA27945,SAMN00002610,,representative genome,485914,57705,Halomicrobium mukohataei DSM 12286,strain=DSM 12286,,latest,Complete Genome,Major,Full,03/09/2009,ASM2396v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1,,assembly from type material,na
GCA_029633915.1,PRJNA798152,SAMN25047802,,na,487686,487686,Methanomicrobium antiquum,strain=DSM 21220,,latest,Complete Genome,Major,Full,10/04/2023,ASM2963391v1,National Chung Hsing University,GCF_029633915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/633/915/GCA_029633915.1_ASM2963391v1,,assembly from type material,na
GCA_000020905.1,PRJNA28141,SAMN02603098,,na,490899,94694,Desulfurococcus amylolyticus 1221n,strain=1221n,,latest,Complete Genome,Major,Full,24/12/2008,ASM2090v1,Centre 'Bioengineering' RAS,GCF_000020905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/905/GCA_000020905.1_ASM2090v1,,assembly from synonym type material,na
GCA_000023945.1,PRJNA29305,SAMN00002611,,representative genome,519442,146826,Halorhabdus utahensis DSM 12940,strain=DSM 12940,,latest,Complete Genome,Major,Full,27/08/2009,ASM2394v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/945/GCA_000023945.1_ASM2394v1,,assembly from type material,na
GCA_000021965.1,PRJNA29381,SAMN00001866,,representative genome,521011,475088,Methanosphaerula palustris E1-9c,strain=E1-9c,,latest,Complete Genome,Major,Full,05/01/2009,ASM2196v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000021965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/965/GCA_000021965.1_ASM2196v1,,assembly from type material,na
GCA_000306765.2,PRJNA43185,SAMN02603397,,na,523841,2252,Haloferax mediterranei ATCC 33500,strain=CGMCC 1.2087,,latest,Complete Genome,Major,Full,27/05/2014,ASM30676v2,"Institute of Microbiology, Chinese Academy of Sciences",GCF_000306765.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/765/GCA_000306765.2_ASM30676v2,,assembly from type material,na
GCA_005406325.1,PRJNA412908,SAMN11356524,,representative genome,523841,2252,Haloferax mediterranei ATCC 33500,strain=ATCC 33500,,latest,Complete Genome,Major,Full,16/05/2019,ASM540632v1,University of Maryland,GCF_005406325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/406/325/GCA_005406325.1_ASM540632v1,,assembly from type material,na
GCA_000969885.1,PRJNA230961,SAMN03074597,,representative genome,523844,2210,Methanosarcina thermophila TM-1,strain=TM-1,,latest,Complete Genome,Major,Full,07/04/2015,ASM96988v1,University of Illinois at Urbana-Champaign,GCF_000969885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/885/GCA_000969885.1_ASM96988v1,,assembly from type material,na
GCA_946463545.1,PRJEB53446,SAMEA110262234,,representative genome,523845,2186,Methanothermococcus thermolithotrophicus DSM 2095,,M. thermolithotrophicus DSM 2095,latest,Complete Genome,Major,Full,31/08/2022,Mth-DSM-2095-CCS-WG,Max Planck Institute for Marine Microbiology,GCF_946463545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/463/545/GCA_946463545.1_Mth-DSM-2095-CCS-WG,,,na
GCA_000166095.1,PRJNA33689,SAMN02232040,,representative genome,523846,2180,Methanothermus fervidus DSM 2088,strain=DSM 2088,,latest,Complete Genome,Major,Full,05/11/2010,ASM16609v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000166095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/095/GCA_000166095.1_ASM16609v1,,assembly from type material,na
GCA_019175345.1,PRJNA716250,SAMN18432893,,representative genome,523848,2286,Saccharolobus shibatae B12,strain=B12,,latest,Complete Genome,Major,Full,08/07/2021,ASM1917534v1,Skolkovo Institute of Science and Technology,GCF_019175345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/175/345/GCA_019175345.1_ASM1917534v1,,assembly from type material,na
GCA_000246985.3,PRJNA81925,SAMN02603679,,representative genome,523849,2265,Thermococcus litoralis DSM 5473,strain=DSM 5473,,latest,Complete Genome,Major,Full,13/08/2013,ASM24698v3,"New England Biolabs, Inc.",GCF_000246985.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/985/GCA_000246985.3_ASM24698v3,,assembly from type material,na
GCA_000018365.1,PRJNA20773,SAMN02603476,,representative genome,523850,342948,Thermococcus onnurineus NA1,strain=NA1,,latest,Complete Genome,Major,Full,06/11/2008,ASM1836v1,Korea Ocean Research & Development Institute,GCF_000018365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/365/GCA_000018365.1_ASM1836v1,,assembly from type material,na
GCA_000215995.1,PRJNA66055,SAMN02603867,,representative genome,529709,1008460,Pyrococcus yayanosii CH1,strain=CH1,,latest,Complete Genome,Major,Full,07/06/2011,ASM21599v1,Shanghai JiaoTong University,GCF_000215995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/995/GCA_000215995.1_ASM21599v1,,assembly from type material,na
GCA_013388255.1,PRJNA641069,SAMN15340093,,representative genome,536044,536044,Methanolobus zinderi,strain=DSM 21339,,latest,Complete Genome,Major,Full,04/07/2020,ASM1338825v1,National Chung Hsing University,GCF_013388255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/388/255/GCA_013388255.1_ASM1338825v1,,assembly from type material,na
GCA_000025325.1,PRJNA30411,SAMN02598471,,representative genome,543526,62320,Haloterrigena turkmenica DSM 5511,strain=DSM 5511,,latest,Complete Genome,Major,Full,19/01/2010,ASM2532v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1,,assembly from type material,na
GCA_000025865.1,PRJNA30711,SAMN02598474,,representative genome,547558,2176,Methanohalophilus mahii DSM 5219,strain=DSM 5219,,latest,Complete Genome,Major,Full,31/03/2010,ASM2586v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/865/GCA_000025865.1_ASM2586v1,,assembly from type material,na
GCA_000025625.1,PRJNA30691,SAMN02598473,,representative genome,547559,13769,Natrialba magadii ATCC 43099,strain=ATCC 43099,,latest,Complete Genome,Major,Full,24/02/2010,ASM2562v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/625/GCA_000025625.1_ASM2562v1,,assembly from type material,na
GCA_020614395.1,PRJNA772374,SAMN22374871,,representative genome,555573,555573,Salarchaeum japonicum,strain=JCM 16327,,latest,Complete Genome,Major,Full,26/10/2021,ASM2061439v1,Jiangsu University,GCF_020614395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/614/395/GCA_020614395.1_ASM2061439v1,,assembly from type material,na
GCA_000789255.1,PRJNA261279,SAMN03070125,,na,565033,565033,Geoglobus acetivorans,strain=SBH6,,latest,Complete Genome,Major,Full,04/12/2014,ASM78925v1,Centre Bioengineering RAS,GCF_000789255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/255/GCA_000789255.1_ASM78925v1,unverified source organism; not used as type,,na
GCA_000148385.1,PRJNA32589,SAMN00017002,,representative genome,572478,164451,Vulcanisaeta distributa DSM 14429,strain=DSM 14429,,latest,Complete Genome,Major,Full,22/09/2010,ASM14838v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000148385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/385/GCA_000148385.1_ASM14838v1,,assembly from type material,na
GCA_000025285.1,PRJNA32583,SAMN00017459,,representative genome,572546,84156,Archaeoglobus profundus DSM 5631,strain=DSM 5631,,latest,Complete Genome,Major,Full,19/01/2010,ASM2528v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1,,assembly from type material,na
GCA_000092305.1,PRJNA32611,SAMN00017484,,representative genome,573063,67760,Methanocaldococcus infernus ME,strain=ME,,latest,Complete Genome,Major,Full,30/04/2010,ASM9230v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000092305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1,,assembly from type material,na
GCA_000023985.1,PRJNA32615,SAMN02598490,,representative genome,573064,83171,Methanocaldococcus fervens AG86,strain=AG86,,latest,Complete Genome,Major,Full,28/08/2009,ASM2398v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/985/GCA_000023985.1_ASM2398v1,,assembly from type material,na
GCA_000024625.1,PRJNA33047,SAMN02598493,,representative genome,579137,73913,Methanocaldococcus vulcanius M7,strain=M7,,latest,Complete Genome,Major,Full,15/10/2009,ASM2462v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000024625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/625/GCA_000024625.1_ASM2462v1,,assembly from type material,na
GCA_000517445.1,PRJNA230233,SAMN03081513,,representative genome,582419,582419,Thermococcus paralvinellae,strain=ES1,,latest,Complete Genome,Major,Full,10/01/2014,ASM51744v1,Kyung Hee University,GCF_000517445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/517/445/GCA_000517445.1_ASM51744v1,,assembly from type material,na
GCA_000145985.1,PRJNA33361,SAMN00016987,,na,583356,334771,Ignisphaera aggregans DSM 17230,strain=DSM 17230,,latest,Complete Genome,Major,Full,24/08/2010,ASM14598v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000145985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/985/GCA_000145985.1_ASM14598v1,missing rRNA genes,assembly from type material,na
GCA_001971705.1,PRJNA329170,SAMN05417698,,representative genome,588898,588898,Natronorubrum daqingense,strain=JX313,,latest,Complete Genome,Major,Full,26/01/2017,ASM197170v1,Heilongjiang Academy,GCF_001971705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/971/705/GCA_001971705.1_ASM197170v1,,assembly from type material,na
GCA_000025505.1,PRJNA33635,SAMN02598503,,representative genome,589924,54261,Ferroglobus placidus DSM 10642,strain=DSM 10642,,latest,Complete Genome,Major,Full,16/02/2010,ASM2550v1,US DOE Joint Genome Institute,GCF_000025505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1,,assembly from type material,na
GCA_000092465.1,PRJNA33683,SAMN00002730,,representative genome,591019,84599,Staphylothermus hellenicus DSM 12710,strain=DSM 12710,,latest,Complete Genome,Major,Full,01/06/2010,ASM9246v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000092465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/465/GCA_000092465.1_ASM9246v1,,assembly from type material,na
GCA_000022365.1,PRJNA33671,SAMN02603333,,representative genome,593117,187878,Thermococcus gammatolerans EJ3,strain=EJ3; DSM 15229,,latest,Complete Genome,Major,Full,12/06/2009,ASM2236v1,"IGM/ Universit Paris-Sud, France",GCF_000022365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/365/GCA_000022365.1_ASM2236v1,,assembly from type material,na
GCA_000327485.1,PRJNA63567,SAMN02232038,,representative genome,593750,882104,Methanoregula formicica SMSP,strain=SMSP,,latest,Complete Genome,Major,Full,21/12/2012,ASM32748v1,DOE Joint Genome Institute,GCF_000327485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/485/GCA_000327485.1_ASM32748v1,,assembly from type material,na
GCA_000022545.1,PRJNA34531,SAMN02603090,,representative genome,604354,172049,Thermococcus sibiricus MM 739,strain=MM 739,,latest,Complete Genome,Major,Full,29/06/2009,ASM2254v1,Centre,GCF_000022545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/545/GCA_000022545.1_ASM2254v1,,assembly from type material,na
GCA_003201765.2,PRJNA463410,SAMN09071530,,representative genome,619593,312539,Acidianus sulfidivorans JP7,strain=JP7,,latest,Complete Genome,Major,Full,10/03/2020,ASM320176v2,North Carolina State University,GCF_003201765.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/765/GCA_003201765.2_ASM320176v2,,assembly from type material,na
GCA_000092185.1,PRJNA36571,SAMN02598509,,representative genome,633148,54254,Thermosphaera aggregans DSM 11486,strain=DSM 11486,,latest,Complete Genome,Major,Full,17/05/2010,ASM9218v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000092185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1,,assembly from type material,na
GCA_003990725.2,PRJNA476066,SAMN09425686,,na,634157,634157,Halorubrum sp. PV6,strain=PV6,,latest,Complete Genome,Major,Full,05/08/2019,ASM399072v2,University of Helsinki,GCF_003990725.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/990/725/GCA_003990725.2_ASM399072v2,,,na
GCA_000223905.1,PRJNA68523,SAMN02602960,,na,634497,51589,Haloarcula hispanica ATCC 33960,strain=CGMCC 1.2049,,latest,Complete Genome,Major,Full,17/08/2011,ASM22390v1," Institute of Microbiology, Chinese Academy of Sciences",GCF_000223905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1,,assembly from type material,na
GCA_000024185.1,PRJNA34681,SAMN02603710,,representative genome,634498,83816,Methanobrevibacter ruminantium M1,strain=M1,,latest,Complete Genome,Major,Full,05/02/2010,ASM2418v1,Pastoral Greenhouse Gas Research Consortium,GCF_000024185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1,,assembly from type material,na
GCA_000828535.1,PRJDA34063,SAMD00170763,,na,637914,39152,Methanococcus maripaludis KA1,strain=KA1,,latest,Complete Genome,Major,Full,01/10/2014,ASM82853v1,National Institute of Technology and Evaluation,GCF_000828535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/535/GCA_000828535.1_ASM82853v1,,,na
GCA_000828555.1,PRJDA34065,SAMD00170764,,na,637915,39152,Methanococcus maripaludis OS7,strain=OS7,,latest,Complete Genome,Major,Full,01/10/2014,ASM82855v1,National Institute of Technology and Evaluation,GCF_000828555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/555/GCA_000828555.1_ASM82855v1,,,na
GCA_000025525.1,PRJNA37943,SAMN02598520,,na,644281,644281,Methanocaldococcus sp. FS406-22,strain=FS406-22,,latest,Complete Genome,Major,Full,17/02/2010,ASM2552v1,US DOE Joint Genome Institute,GCF_000025525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/525/GCA_000025525.1_ASM2552v1,,,na
