assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,OGT,predicted_OGT,I_fraction,V_fraction,Y_fraction,W_fraction,R_fraction,E_fraction,L_fraction,A_fraction,N_fraction,D_fraction,C_fraction,Q_fraction,G_fraction,H_fraction,K_fraction,M_fraction,F_fraction,P_fraction,S_fraction,T_fraction,B_fraction,Z_fraction,O_fraction,U_fraction,X_fraction,J_fraction,other_fraction
GCA_000237865.1,PRJEA49335,SAMEA2272799,na,na,768065,293091,Haloquadratum walsbyi C23,strain=DSM 16854 = C23,na,latest,Complete Genome,Major,Full,31/05/2011,ASM23786v1,Max-Planck-Institute of Biochemistry,GCF_000237865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/865/GCA_000237865.1_ASM23786v1,na,assembly from type material,na,haploid,archaea,3260476,3260476,47.5,4,4,4,Max-Planck-Institute of Biochemistry,Annotation submitted by Max-Planck-Institute of Biochemistry,02/08/2017,3592,2650,56,21701686,37,33.94,0.0619,0.07755,0.02781,0.01007,0.05792,0.07607,0.08244,0.09316,0.0342,0.07872,0.00761,0.03461,0.07387,0.02104,0.02423,0.0181,0.03194,0.04306,0.0681,0.07761,0,0,0,0,0,0,0
GCA_000470655.1,PRJEB1233,SAMEA2271992,na,representative genome,1033806,430914,Halorhabdus tiamatea SARL4B,strain=type strain: SARL4B,na,latest,Complete Genome,Major,Full,01/08/2013,HATI1,MPI BREMEN,GCF_000470655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/655/GCA_000470655.1_HATI1,na,assembly from type material,na,haploid,archaea,3146160,3146160,62.5,2,2,2,MPI BREMEN,Annotation submitted by MPI BREMEN,07/26/16,3073,3023,49,24428220,45,51.81,0.04388,0.08681,0.0276,0.01194,0.06485,0.08972,0.08802,0.10473,0.02405,0.08703,0.00648,0.02746,0.08164,0.02059,0.01878,0.0173,0.03263,0.04579,0.05505,0.06564,0,0,0,0,0,0,0
GCA_004126515.1,PRJNA513349,SAMN10709458,na,representative genome,337243,337243,Halorubrum ezzemoulense,strain=Fb21,na,latest,Complete Genome,Major,Full,01/02/2019,ASM412651v1,University of Connecticut,GCF_004126515.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/126/515/GCA_004126515.1_ASM412651v1,na,na,na,haploid,archaea,3726301,3726301,66,3,3,3,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,01/09/2019,3739,3443,78,na,37,44.41,0.03755,0.09095,0.02572,0.01086,0.0698,0.08365,0.0864,0.11905,0.02222,0.08883,0.0068,0.02201,0.08843,0.01861,0.01777,0.01565,0.03204,0.04801,0.05366,0.06199,0,0,0,0,0,0,0
GCA_000328525.1,PRJNA59897,SAMN02232030,na,representative genome,797302,387341,Halovivax ruber XH-70,strain=XH-70,na,latest,Complete Genome,Major,Full,27/12/2012,ASM32852v1,DOE Joint Genome Institute,GCF_000328525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/525/GCA_000328525.1_ASM32852v1,na,assembly from type material,na,haploid,archaea,3223876,3223876,64,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,07/17/13,3187,3099,52,na,37,42.62,0.04274,0.08912,0.02602,0.01118,0.06445,0.0823,0.0872,0.11092,0.02131,0.08821,0.00747,0.02438,0.08523,0.02046,0.01567,0.01682,0.03153,0.04808,0.05858,0.06833,0,0,0,0,0,0,0
GCA_000015145.1,PRJNA208,SAMN02604082,na,representative genome,415426,54248,Hyperthermus butylicus DSM 5456,strain=DSM 5456,na,latest,Complete Genome,Major,Full,22/01/2007,ASM1514v1,Univ. Copenhagen,GCF_000015145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1,na,assembly from type material,na,haploid,archaea,1667163,1667163,53.5,1,1,1,Univ. Copenhagen,Annotation submitted by Univ. Copenhagen,06/01/2018,1672,1602,52,17350933,99,106.92,0.06172,0.09215,0.03907,0.0124,0.07811,0.07681,0.11138,0.10061,0.02166,0.04188,0.00922,0.01999,0.07621,0.01789,0.04507,0.02108,0.02712,0.05062,0.05302,0.044,0,0,0,0,0,0,0
GCA_000017945.1,PRJNA13914,SAMN02598324,na,representative genome,453591,160233,Ignicoccus hospitalis KIN4/I,strain=KIN4/I,na,latest,Complete Genome,Major,Full,29/08/2007,ASM1794v1,US DOE Joint Genome Institute,GCF_000017945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/945/GCA_000017945.1_ASM1794v1,na,assembly from type material,na,haploid,archaea,1297538,1297538,56.5,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,1492,1434,48,19000309,90,88.33,0.0492,0.09783,0.03604,0.01357,0.05824,0.08699,0.10992,0.08589,0.02607,0.04428,0.01032,0.01535,0.07367,0.01455,0.07382,0.02191,0.0355,0.05031,0.05438,0.04216,0,0,0,0,0,0,0
GCA_001481685.1,PRJNA61347,SAMN04316368,na,representative genome,940295,54259,Ignicoccus islandicus DSM 13165,strain=DSM 13165,na,latest,Complete Genome,Major,Full,23/12/2015,ASM148168v1,Oak Ridge National Laboratory,GCF_001481685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/685/GCA_001481685.1_ASM148168v1,na,assembly from type material,na,haploid,archaea,1394664,1394664,44.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,11/05/2013,1578,1511,52,na,90,91.31,0.0719,0.08762,0.03857,0.01302,0.05417,0.0818,0.10789,0.06879,0.03517,0.04557,0.01027,0.01752,0.06775,0.0146,0.07539,0.02258,0.03571,0.04558,0.0616,0.04451,0,0,0,0,0,0,0
GCA_025340205.1,PRJNA61345,SAMN04316367,na,na,940294,114376,Ignicoccus pacificus DSM 13166,strain=DSM 13166,na,latest,Complete Genome,Major,Full,21/09/2022,ASM2534020v1,Oak Ridge National Laboratory,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/340/205/GCA_025340205.1_ASM2534020v1,na,assembly from type material,na,haploid,archaea,1685057,1685057,48,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,11/05/2013,1943,1862,51,na,90,86.28,0.06871,0.08512,0.03872,0.01356,0.05409,0.08086,0.10854,0.07324,0.03142,0.04451,0.0107,0.01744,0.06885,0.01504,0.07738,0.02578,0.03664,0.04658,0.0571,0.04573,0,0,0,0,0,0,0
GCA_000145985.1,PRJNA33361,SAMN00016987,na,na,583356,334771,Ignisphaera aggregans DSM 17230,strain=DSM 17230,na,latest,Complete Genome,Major,Full,24/08/2010,ASM14598v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000145985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/985/GCA_000145985.1_ASM14598v1,missing rRNA genes,assembly from type material,na,haploid,archaea,1875953,1875953,35.5,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),01/02/2014,2039,1930,47,21304693,92,109.78,0.11463,0.07368,0.04761,0.0105,0.06302,0.06773,0.09753,0.06054,0.03955,0.05195,0.00914,0.01733,0.06199,0.01469,0.05915,0.02366,0.03609,0.03969,0.06613,0.04542,0,0,0,0,0,0,0
GCA_003201675.2,PRJNA463410,SAMN09071531,na,representative genome,1293036,79601,Metallosphaera hakonensis JCM 8857 = DSM 7519,strain=HO1-1,na,latest,Complete Genome,Major,Full,10/03/2020,ASM320167v2,North Carolina State University,GCF_003201675.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/675/GCA_003201675.2_ASM320167v2,na,assembly from type material,na,haploid,archaea,2544115,2544115,43.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),10/23/19,2599,2379,51,na,67,75.6,0.07568,0.08333,0.03974,0.0107,0.05427,0.06933,0.10515,0.05896,0.04021,0.04792,0.00635,0.0237,0.07301,0.01413,0.06564,0.02589,0.0427,0.04185,0.07212,0.04931,0,0,0,0,0,0,0
GCA_005222525.1,PRJNA463410,SAMN09071532,na,representative genome,47304,47304,Metallosphaera prunae,strain=Ron 12/II,na,latest,Complete Genome,Major,Full,07/05/2019,ASM522252v1,North Carolina State University,GCF_005222525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/525/GCA_005222525.1_ASM522252v1,na,assembly from type material,na,haploid,archaea,2202576,2202576,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/23/18,2393,2310,49,na,75,77.18,0.07222,0.08678,0.03936,0.01041,0.0561,0.06949,0.10552,0.06173,0.03824,0.04714,0.00625,0.02372,0.07497,0.01428,0.06079,0.02648,0.04157,0.04367,0.07093,0.05034,0,0,0,0,0,0,0
GCA_001266655.1,PRJNA289697,SAMN03857118,na,na,43687,43687,Metallosphaera sedula,strain=ARS50-1,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126665v1,University of Nebraska-Lincoln,GCF_001266655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/655/GCA_001266655.1_ASM126665v1,na,na,na,haploid,archaea,2191533,2191533,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2354,2244,48,26430052,67,77.56,0.07233,0.08671,0.03924,0.01048,0.05627,0.06952,0.10575,0.06213,0.0379,0.0471,0.00609,0.0236,0.07487,0.01425,0.06095,0.02665,0.04173,0.04351,0.07081,0.05013,0,0,0,0,0,0,0
GCA_001266735.1,PRJNA290374,SAMN03890864,na,na,43687,43687,Metallosphaera sedula,strain=SARC-M1,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126673v1,University of Nebraska-Lincoln,GCF_001266735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/735/GCA_001266735.1_ASM126673v1,na,na,na,haploid,archaea,2191533,2191533,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/28/15,2359,2250,48,na,67,77.58,0.07236,0.08671,0.03923,0.01048,0.05626,0.06952,0.10577,0.06218,0.03787,0.04711,0.00609,0.02359,0.07488,0.01426,0.06094,0.02667,0.04174,0.04349,0.07077,0.05011,0,0,0,0,0,0,0
GCA_001266695.1,PRJNA289698,SAMN03857129,na,na,43687,43687,Metallosphaera sedula,strain=ARS120-1,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126669v1,University of Nebraska-Lincoln,GCF_001266695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/695/GCA_001266695.1_ASM126669v1,na,na,na,haploid,archaea,2191531,2191531,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2354,2245,48,26430052,67,77.57,0.07233,0.08671,0.03924,0.01047,0.05628,0.06952,0.10575,0.06213,0.0379,0.04709,0.00609,0.0236,0.07487,0.01425,0.06094,0.02664,0.04173,0.04352,0.0708,0.05012,0,0,0,0,0,0,0
GCA_001266715.1,PRJNA289699,SAMN03857133,na,na,43687,43687,Metallosphaera sedula,strain=ARS120-2,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126671v1,University of Nebraska-Lincoln,GCF_001266715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/715/GCA_001266715.1_ASM126671v1,na,na,na,haploid,archaea,2191533,2191533,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2355,2245,48,26430052,67,77.57,0.07233,0.08671,0.03924,0.01047,0.05628,0.06952,0.10575,0.06213,0.0379,0.0471,0.00609,0.0236,0.07487,0.01425,0.06094,0.02664,0.04173,0.04352,0.0708,0.05012,0,0,0,0,0,0,0
GCA_001266675.1,PRJNA289701,SAMN03857124,na,na,43687,43687,Metallosphaera sedula,strain=ARS50-2,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126667v1,University of Nebraska-Lincoln,GCF_001266675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/675/GCA_001266675.1_ASM126667v1,na,na,na,haploid,archaea,2191529,2191529,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2357,2246,49,26430052,67,77.57,0.07233,0.08672,0.03924,0.01047,0.05629,0.06952,0.10574,0.06213,0.03789,0.0471,0.00608,0.0236,0.07488,0.01425,0.06094,0.02664,0.04172,0.04352,0.0708,0.05013,0,0,0,0,0,0,0
GCA_023169565.1,PRJDB8408,SAMD00173596,na,na,43687,43687,Metallosphaera sedula,strain=MJ1HA,na,latest,Complete Genome,Major,Full,22/02/2022,ASM2316956v1,RIKEN,GCF_023169565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/169/565/GCA_023169565.1_ASM2316956v1,na,na,na,haploid,archaea,2283739,2283739,46,1,1,1,RIKEN,Annotation submitted by RIKEN,02/23/22,2625,2574,51,35993221,67,78.1,0.07205,0.08637,0.03968,0.01054,0.05636,0.06951,0.10635,0.06113,0.03833,0.04707,0.00615,0.02401,0.07367,0.0143,0.0614,0.02636,0.04202,0.04326,0.071,0.05042,0,0,0,0,0,0,0
GCA_000016605.1,PRJNA17447,SAMN02598389,na,na,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,na,latest,Complete Genome,Major,Full,25/04/2007,ASM1660v1,US DOE Joint Genome Institute,GCF_000016605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1,unverified source organism; not used as type,na,na,haploid,archaea,2191517,2191517,46,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,2341,2256,42,18083856,67,77.3,0.07217,0.08684,0.03942,0.01045,0.05612,0.0693,0.10573,0.06192,0.03812,0.04703,0.0062,0.02372,0.07477,0.01426,0.06072,0.02663,0.04169,0.04359,0.07099,0.05031,0,0,0,0,0,0,0
GCA_030296715.1,PRJDB15044,SAMD00582126,na,na,710191,710191,Methanobacterium ferruginis,strain=NBRC 105197,na,latest,Complete Genome,Major,Full,24/03/2023,ASM3029671v1,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),GCF_030296715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/296/715/GCA_030296715.1_ASM3029671v1,na,assembly from type material,na,haploid,archaea,2803797,2803797,37,1,1,1,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),03/24/23,2979,2931,48,30832757,37,45.05,0.08493,0.06939,0.03615,0.00933,0.03739,0.07317,0.09523,0.06248,0.04988,0.05667,0.01125,0.02974,0.07013,0.01833,0.06967,0.02816,0.04089,0.03883,0.06223,0.05614,0,0,0,0,0,0,0
GCA_001458655.1,PRJEB7298,SAMEA2779801,na,representative genome,2162,2162,Methanobacterium formicicum,na,Mb9,latest,Complete Genome,Major,Full,16/11/2015,Mb9,CEBITEC,GCF_001458655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9,na,na,na,haploid,archaea,2494510,2494510,41,1,1,1,CEBITEC,Annotation submitted by CEBITEC,11/16/15,2465,2416,49,na,37,47.93,0.08206,0.07151,0.03502,0.00872,0.04058,0.07374,0.09705,0.06381,0.04729,0.05551,0.01134,0.03153,0.0717,0.01863,0.068,0.0277,0.04019,0.04002,0.0613,0.05427,0,0,0,0,0,0,0
GCA_000191585.1,PRJNA53495,SAMN02232037,na,representative genome,877455,877455,Methanobacterium lacus,strain=AL-21,na,latest,Complete Genome,Major,Full,07/03/2011,ASM19158v1,US DOE Joint Genome Institute,GCF_000191585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/585/GCA_000191585.1_ASM19158v1,na,na,na,haploid,archaea,2583753,2583753,35.5,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,06/08/2015,2584,2493,51,24449792,30,39.07,0.08915,0.07175,0.03602,0.00794,0.03383,0.06956,0.09097,0.06074,0.05752,0.05601,0.01125,0.02487,0.06996,0.01691,0.07483,0.02769,0.04145,0.03631,0.06547,0.05776,0,0,0,0,0,0,0
GCA_000214725.1,PRJNA53561,SAMN00713630,na,representative genome,868131,868131,Methanobacterium paludis,strain=SWAN1,na,latest,Complete Genome,Major,Full,24/05/2011,ASM21472v1,US DOE Joint Genome Institute,GCF_000214725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/725/GCA_000214725.1_ASM21472v1,na,assembly from type material,na,haploid,archaea,2546541,2546541,35.5,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,05/29/14,2500,2397,58,24449792,28,40.64,0.0872,0.07337,0.0337,0.00848,0.03642,0.07179,0.08993,0.06427,0.05133,0.05664,0.01212,0.02342,0.07187,0.01698,0.07887,0.02809,0.04171,0.03696,0.0622,0.05465,0,0,0,0,0,0,0
GCA_030296735.1,PRJDB15044,SAMD00582127,na,na,710190,710190,Methanobacterium petrolearium,strain=NBRC 105198,na,latest,Complete Genome,Major,Full,24/03/2023,ASM3029673v1,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/296/735/GCA_030296735.1_ASM3029673v1,contaminated; not used as type,na,na,haploid,archaea,2532033,2532033,37.5,2,2,2,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),03/24/23,2842,2798,44,30832757,35,42.97,0.08484,0.07034,0.03536,0.00894,0.03788,0.07259,0.09344,0.06182,0.05011,0.05733,0.01173,0.02963,0.07038,0.01878,0.0713,0.02861,0.04035,0.03921,0.06141,0.05594,0,0,0,0,0,0,0
GCA_002813655.1,PRJNA349209,SAMN05928840,na,na,59277,59277,Methanobacterium subterraneum,strain=MO-MB1,na,latest,Complete Genome,Major,Full,07/12/2017,ASM281365v1,Japan Agency for Marine-Earth Science and technology,GCF_002813655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/655/GCA_002813655.1_ASM281365v1,na,na,na,haploid,archaea,2506225,2506225,39,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,10/21/16,2415,2284,50,na,37,46.54,0.08432,0.07017,0.03469,0.00875,0.04022,0.07398,0.09505,0.06263,0.0487,0.05674,0.01124,0.03063,0.07129,0.01885,0.06933,0.02818,0.04003,0.03991,0.06117,0.05411,0,0,0,0,0,0,0
GCA_027555045.1,PRJNA674001,SAMN16605913,na,na,145262,145262,Methanothermobacter thermautotrophicus,strain=Z-245,na,latest,Complete Genome,Major,Full,03/01/2023,ASM2755504v1,University of Tuebingen,GCF_027555045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/555/045/GCA_027555045.1_ASM2755504v1,na,na,na,haploid,archaea,1769813,1769813,49,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/09/2020,1852,1775,48,na,60,76.38,0.0772,0.07714,0.03209,0.00817,0.06801,0.08207,0.09435,0.07407,0.03301,0.05941,0.01191,0.01878,0.07985,0.01842,0.04576,0.02974,0.03636,0.04273,0.06106,0.04986,0,0,0,0,0,0,0
GCA_027554905.1,PRJNA674001,SAMN16604535,na,representative genome,145262,145262,Methanothermobacter thermautotrophicus,strain=Delta H,na,latest,Complete Genome,Major,Full,03/01/2023,ASM2755490v1,University of Tuebingen,GCF_027554905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/554/905/GCA_027554905.1_ASM2755490v1,na,assembly from type material,na,haploid,archaea,1751429,1751429,49.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/09/2020,1844,1769,48,na,60,76.61,0.07699,0.07717,0.03218,0.00814,0.06838,0.08204,0.09438,0.07408,0.03287,0.05953,0.01193,0.0187,0.07989,0.01849,0.04542,0.02981,0.03633,0.04283,0.0612,0.04964,0,0,0,0,0,0,0
GCA_000008645.1,PRJNA289,SAMN02603244,na,na,187420,145262,Methanothermobacter thermautotrophicus str. Delta H,strain=Delta H,na,latest,Complete Genome,Major,Full,22/12/1999,ASM864v1,Genome Therapeutics Corporation,GCF_000008645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/645/GCA_000008645.1_ASM864v1,na,assembly from type material,na,haploid,archaea,1751377,1751377,49.5,1,1,1,Genome Therapeutics Corporation,Annotation submitted by Genome Therapeutics Corporation,01/30/14,1916,1869,47,9371463,60,75.36,0.07708,0.07667,0.03225,0.00841,0.06792,0.08142,0.09421,0.07331,0.03312,0.05911,0.01208,0.019,0.07973,0.01875,0.04564,0.03072,0.0365,0.04303,0.06142,0.04962,0,0,0,0,0,0,0
GCA_900095815.1,PRJEB15255,SAMEA4408318,na,na,145261,145261,Methanothermobacter wolfeii,na,SIV6,latest,Complete Genome,Major,Full,16/12/2016,SIV6,CEBITEC,GCF_900095815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/815/GCA_900095815.1_SIV6,contaminated,na,na,haploid,archaea,1686891,1686891,48.5,1,1,1,CEBITEC,Annotation submitted by CEBITEC,12/16/16,1836,1792,44,na,60,74.56,0.07828,0.07598,0.0317,0.00784,0.06702,0.08257,0.09371,0.0732,0.03252,0.05936,0.012,0.01841,0.07982,0.0185,0.04881,0.03074,0.03696,0.04289,0.06045,0.04924,0,0,0,0,0,0,0
GCA_025397995.1,PRJNA622823,SAMN30825859,na,representative genome,145261,145261,Methanothermobacter wolfeii,strain=DSM 2970,na,latest,Complete Genome,Major,Full,24/09/2022,ASM2539799v1,NEB,GCF_025397995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/397/995/GCA_025397995.1_ASM2539799v1,na,assembly from type material,na,haploid,archaea,1706705,1706705,48.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),09/16/22,1888,1817,49,na,60,74.45,0.07851,0.07551,0.03194,0.00792,0.06637,0.08321,0.09352,0.07296,0.03272,0.0594,0.01199,0.01843,0.07947,0.01851,0.05,0.03056,0.03691,0.04273,0.06018,0.04914,0,0,0,0,0,0,0
GCA_001477655.1,PRJNA49589,SAMN03438115,na,na,230361,230361,Methanobrevibacter millerae,strain=SM9,na,latest,Complete Genome,Major,Full,22/12/2015,ASM147765v1,PGgRc,GCF_001477655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/655/GCA_001477655.1_ASM147765v1,na,na,na,haploid,archaea,2543538,2543538,31.5,1,1,1,PGgRc,Annotation submitted by PGgRc,12/22/15,2370,2269,47,na,37,34.65,0.09434,0.06683,0.04256,0.00679,0.03027,0.06916,0.08455,0.05819,0.07068,0.06703,0.01206,0.02293,0.06474,0.01562,0.07426,0.02264,0.04523,0.03045,0.06615,0.05552,0,0,0,0,0,0,0
GCA_022846155.1,PRJDB11902,SAMD00389909,na,na,2173,2173,Methanobrevibacter smithii,strain=CE91-St67,na,latest,Complete Genome,Major,Full,04/02/2022,ASM2284615v1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",GCF_022846155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/155/GCA_022846155.1_ASM2284615v1,na,na,na,haploid,archaea,1791153,1791153,31,1,1,1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN","Annotation submitted by Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",02/03/2022,1756,1719,37,na,37,34.92,0.09374,0.06912,0.04001,0.00643,0.02959,0.06963,0.08626,0.06087,0.06738,0.06543,0.01289,0.0226,0.06691,0.01555,0.07836,0.02282,0.04246,0.03197,0.06483,0.05315,0,0,0,0,0,0,0
GCA_000739065.1,PRJNA242490,SAMN02951366,na,representative genome,1301915,1301915,Methanocaldococcus bathoardescens,strain=JH146,na,latest,Complete Genome,Major,Full,12/08/2014,ASM73906v1,Kyung Hee University,GCF_000739065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/065/GCA_000739065.1_ASM73906v1,na,assembly from type material,na,haploid,archaea,1607556,1607556,30.5,1,1,1,Kyung Hee University,Annotation submitted by Kyung Hee University,11/20/19,1685,1635,41,25634941;26094864,80,80.13,0.10533,0.06858,0.04247,0.007,0.0381,0.08752,0.09404,0.05541,0.05251,0.05524,0.01321,0.01439,0.06388,0.01463,0.10385,0.02186,0.04245,0.03413,0.04503,0.04037,0,0,0,0,0,0,0
GCA_000023985.1,PRJNA32615,SAMN02598490,na,representative genome,573064,83171,Methanocaldococcus fervens AG86,strain=AG86,na,latest,Complete Genome,Major,Full,28/08/2009,ASM2398v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/985/GCA_000023985.1_ASM2398v1,na,assembly from type material,na,haploid,archaea,1507251,1507251,32,2,2,2,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),07/24/16,1665,1581,45,na,85,78.91,0.10124,0.07183,0.04171,0.00678,0.0385,0.08777,0.09391,0.05772,0.051,0.05585,0.0131,0.01437,0.06521,0.01448,0.10318,0.02263,0.04135,0.03444,0.04418,0.04074,0,0,0,2.00E-05,0,0,0
GCA_000092305.1,PRJNA32611,SAMN00017484,na,representative genome,573063,67760,Methanocaldococcus infernus ME,strain=ME,na,latest,Complete Genome,Major,Full,30/04/2010,ASM9230v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000092305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1,na,assembly from type material,na,haploid,archaea,1328194,1328194,33.5,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),12/11/2013,1513,1441,46,na,85,94.77,0.10144,0.06976,0.04314,0.00643,0.04282,0.09241,0.10266,0.05368,0.04683,0.05016,0.01294,0.01242,0.06402,0.01413,0.10492,0.01989,0.04192,0.03443,0.04816,0.03782,0,0,0,2.00E-05,0,0,0
GCA_000091665.1,PRJNA102,SAMN02603984,na,representative genome,243232,2190,Methanocaldococcus jannaschii DSM 2661,strain=DSM 2661,na,latest,Complete Genome,Major,Full,22/12/1999,ASM9166v1,TIGR,GCF_000091665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1,na,assembly from type material,na,haploid,archaea,1739927,1739927,31,3,3,3,TIGR,Annotation submitted by TIGR,05/12/2016,1821,1770,43,8688087,80,80.74,0.10514,0.06799,0.0438,0.00732,0.03839,0.08657,0.09448,0.05446,0.053,0.05518,0.01282,0.01451,0.0632,0.0143,0.10405,0.02309,0.04259,0.03353,0.04511,0.04045,0,0,0,0,2.00E-05,0,0
