assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,OGT,predicted_OGT
GCA_010692885.1,PRJNA605299,SAMN14053718,na,na,60847,60847,Halogeometricum borinquense,strain=wsp4,na,latest,Complete Genome,Major,Full,18/02/2020,ASM1069288v1,CSIR-Institue of Microbial Technology,GCF_010692885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/692/885/GCA_010692885.1_ASM1069288v1,na,na,na,haploid,archaea,3994321,3994321,59.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/11/2020,4007,3809,57,na,37,44.1
GCA_011765365.1,PRJNA590870,SAMN13341696,na,na,60847,60847,Halogeometricum borinquense,strain=wsp3,na,latest,Complete Genome,Major,Full,29/03/2020,ASM1176536v1,CSIR-Institue of Microbial Technology,GCF_011765365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/765/365/GCA_011765365.1_ASM1176536v1,genome length too small,na,na,haploid,archaea,2818554,2818554,61,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/23/20,2942,2764,61,na,37,46.33
GCA_000172995.2,PRJNA20743,SAMN00002580,na,representative genome,469382,60847,Halogeometricum borinquense DSM 11551,strain=PR 3,na,latest,Complete Genome,Major,Full,22/11/2010,ASM17299v2,US DOE Joint Genome Institute (JGI-PGF),GCF_000172995.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2,na,assembly from type material,na,haploid,archaea,3944467,3944467,59.5,6,6,6,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),07/17/15,3993,3898,57,21304651,37,43.9
GCA_002788215.1,PRJNA53493,SAMN00117514,na,representative genome,1073996,1073996,Halohasta litchfieldiae,strain=tADL,na,latest,Complete Genome,Major,Full,20/11/2017,ASM278821v1,JGI-PSF,GCF_002788215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/788/215/GCA_002788215.1_ASM278821v1,na,assembly from type material,na,haploid,archaea,3332022,3332022,58.5,1,1,1,JGI-PSF,Annotation submitted by JGI-PSF,05/18/18,3520,3343,55,na,28,44.25
GCA_000217715.1,PRJNA56049,SAMN02232028,na,representative genome,797210,387343,Halopiger xanaduensis SH-6,strain=SH-6,na,latest,Complete Genome,Major,Full,09/06/2011,ASM21771v1,US DOE Joint Genome Institute,GCF_000217715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/715/GCA_000217715.1_ASM21771v1,na,assembly from type material,na,haploid,archaea,4355268,4355268,65,4,4,4,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,07/25/16,4370,4221,60,22675596,37,53.93
GCA_000009185.1,PRJNA17185,SAMEA3138195,na,representative genome,362976,293091,Haloquadratum walsbyi DSM 16790,strain=DSM 16790 = HBSQ001,na,latest,Complete Genome,Major,Full,22/06/2006,ASM918v1,Max Planck Institute,GCF_000009185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/185/GCA_000009185.1_ASM918v1,na,na,na,haploid,archaea,3179361,3179361,47.5,2,2,2,Max Planck Institute,Annotation submitted by Max Planck Institute,04/19/17,3487,2560,56,16820047,37,31.81
GCA_000237865.1,PRJEA49335,SAMEA2272799,na,na,768065,293091,Haloquadratum walsbyi C23,strain=DSM 16854 = C23,na,latest,Complete Genome,Major,Full,31/05/2011,ASM23786v1,Max-Planck-Institute of Biochemistry,GCF_000237865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/865/GCA_000237865.1_ASM23786v1,na,assembly from type material,na,haploid,archaea,3260476,3260476,47.5,4,4,4,Max-Planck-Institute of Biochemistry,Annotation submitted by Max-Planck-Institute of Biochemistry,02/08/2017,3592,2650,56,21701686,37,33.94
GCA_000470655.1,PRJEB1233,SAMEA2271992,na,representative genome,1033806,430914,Halorhabdus tiamatea SARL4B,strain=type strain: SARL4B,na,latest,Complete Genome,Major,Full,01/08/2013,HATI1,MPI BREMEN,GCF_000470655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/655/GCA_000470655.1_HATI1,na,assembly from type material,na,haploid,archaea,3146160,3146160,62.5,2,2,2,MPI BREMEN,Annotation submitted by MPI BREMEN,07/26/16,3073,3023,49,24428220,45,51.81
GCA_000023945.1,PRJNA29305,SAMN00002611,na,representative genome,519442,146826,Halorhabdus utahensis DSM 12940,strain=DSM 12940,na,latest,Complete Genome,Major,Full,27/08/2009,ASM2394v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/945/GCA_000023945.1_ASM2394v1,na,assembly from type material,na,haploid,archaea,3116795,3116795,62.5,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),12/24/13,3077,2998,50,21304660,37,48.33
GCA_004126515.1,PRJNA513349,SAMN10709458,na,representative genome,337243,337243,Halorubrum ezzemoulense,strain=Fb21,na,latest,Complete Genome,Major,Full,01/02/2019,ASM412651v1,University of Connecticut,GCF_004126515.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/126/515/GCA_004126515.1_ASM412651v1,na,na,na,haploid,archaea,3726301,3726301,66,3,3,3,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,01/09/2019,3739,3443,78,na,37,44.41
GCA_000517625.1,PRJNA71415,SAMN00117518,na,representative genome,797299,353800,Halostagnicola larsenii XH-48,strain=XH-48,na,latest,Complete Genome,Major,Full,13/01/2014,ASM51762v1,JGI,GCF_000517625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/517/625/GCA_000517625.1_ASM51762v1,na,assembly from type material,na,haploid,archaea,4131176,4131176,60.5,5,5,5,JGI,Annotation submitted by JGI,01/10/2014,4246,4171,56,na,37,51.81
GCA_004799625.1,PRJNA482292,SAMN09702595,na,na,121872,121872,Natrinema thermotolerans,strain=A29,na,latest,Complete Genome,Major,Full,18/04/2019,ASM479962v1,Wuhan University,GCF_004799625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/625/GCA_004799625.1_ASM479962v1,contaminated; not used as type,na,na,haploid,archaea,4904985,4904985,64.5,7,7,7,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/27/18,5017,4744,74,30975999,37,51.95
GCA_000328525.1,PRJNA59897,SAMN02232030,na,representative genome,797302,387341,Halovivax ruber XH-70,strain=XH-70,na,latest,Complete Genome,Major,Full,27/12/2012,ASM32852v1,DOE Joint Genome Institute,GCF_000328525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/525/GCA_000328525.1_ASM32852v1,na,assembly from type material,na,haploid,archaea,3223876,3223876,64,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,07/17/13,3187,3099,52,na,37,42.62
GCA_000015145.1,PRJNA208,SAMN02604082,na,representative genome,415426,54248,Hyperthermus butylicus DSM 5456,strain=DSM 5456,na,latest,Complete Genome,Major,Full,22/01/2007,ASM1514v1,Univ. Copenhagen,GCF_000015145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1,na,assembly from type material,na,haploid,archaea,1667163,1667163,53.5,1,1,1,Univ. Copenhagen,Annotation submitted by Univ. Copenhagen,06/01/2018,1672,1602,52,17350933,99,106.92
GCA_000017945.1,PRJNA13914,SAMN02598324,na,representative genome,453591,160233,Ignicoccus hospitalis KIN4/I,strain=KIN4/I,na,latest,Complete Genome,Major,Full,29/08/2007,ASM1794v1,US DOE Joint Genome Institute,GCF_000017945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/945/GCA_000017945.1_ASM1794v1,na,assembly from type material,na,haploid,archaea,1297538,1297538,56.5,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,1492,1434,48,19000309,90,88.33
GCA_001481685.1,PRJNA61347,SAMN04316368,na,representative genome,940295,54259,Ignicoccus islandicus DSM 13165,strain=DSM 13165,na,latest,Complete Genome,Major,Full,23/12/2015,ASM148168v1,Oak Ridge National Laboratory,GCF_001481685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/685/GCA_001481685.1_ASM148168v1,na,assembly from type material,na,haploid,archaea,1394664,1394664,44.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,11/05/2013,1578,1511,52,na,90,91.31
GCA_025340205.1,PRJNA61345,SAMN04316367,na,na,940294,114376,Ignicoccus pacificus DSM 13166,strain=DSM 13166,na,latest,Complete Genome,Major,Full,21/09/2022,ASM2534020v1,Oak Ridge National Laboratory,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/340/205/GCA_025340205.1_ASM2534020v1,na,assembly from type material,na,haploid,archaea,1685057,1685057,48,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,11/05/2013,1943,1862,51,na,90,86.28
GCA_000145985.1,PRJNA33361,SAMN00016987,na,na,583356,334771,Ignisphaera aggregans DSM 17230,strain=DSM 17230,na,latest,Complete Genome,Major,Full,24/08/2010,ASM14598v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000145985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/985/GCA_000145985.1_ASM14598v1,missing rRNA genes,assembly from type material,na,haploid,archaea,1875953,1875953,35.5,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),01/02/2014,2039,1930,47,21304693,92,109.78
GCA_003201675.2,PRJNA463410,SAMN09071531,na,representative genome,1293036,79601,Metallosphaera hakonensis JCM 8857 = DSM 7519,strain=HO1-1,na,latest,Complete Genome,Major,Full,10/03/2020,ASM320167v2,North Carolina State University,GCF_003201675.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/675/GCA_003201675.2_ASM320167v2,na,assembly from type material,na,haploid,archaea,2544115,2544115,43.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),10/23/19,2599,2379,51,na,67,75.6
GCA_005222525.1,PRJNA463410,SAMN09071532,na,representative genome,47304,47304,Metallosphaera prunae,strain=Ron 12/II,na,latest,Complete Genome,Major,Full,07/05/2019,ASM522252v1,North Carolina State University,GCF_005222525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/525/GCA_005222525.1_ASM522252v1,na,assembly from type material,na,haploid,archaea,2202576,2202576,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/23/18,2393,2310,49,na,75,77.18
GCA_001266655.1,PRJNA289697,SAMN03857118,na,na,43687,43687,Metallosphaera sedula,strain=ARS50-1,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126665v1,University of Nebraska-Lincoln,GCF_001266655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/655/GCA_001266655.1_ASM126665v1,na,na,na,haploid,archaea,2191533,2191533,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2354,2244,48,26430052,67,77.56
GCA_001266735.1,PRJNA290374,SAMN03890864,na,na,43687,43687,Metallosphaera sedula,strain=SARC-M1,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126673v1,University of Nebraska-Lincoln,GCF_001266735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/735/GCA_001266735.1_ASM126673v1,na,na,na,haploid,archaea,2191533,2191533,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/28/15,2359,2250,48,na,67,77.58
GCA_001266695.1,PRJNA289698,SAMN03857129,na,na,43687,43687,Metallosphaera sedula,strain=ARS120-1,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126669v1,University of Nebraska-Lincoln,GCF_001266695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/695/GCA_001266695.1_ASM126669v1,na,na,na,haploid,archaea,2191531,2191531,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2354,2245,48,26430052,67,77.57
GCA_001266715.1,PRJNA289699,SAMN03857133,na,na,43687,43687,Metallosphaera sedula,strain=ARS120-2,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126671v1,University of Nebraska-Lincoln,GCF_001266715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/715/GCA_001266715.1_ASM126671v1,na,na,na,haploid,archaea,2191533,2191533,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2355,2245,48,26430052,67,77.57
GCA_001266675.1,PRJNA289701,SAMN03857124,na,na,43687,43687,Metallosphaera sedula,strain=ARS50-2,na,latest,Complete Genome,Major,Full,12/08/2015,ASM126667v1,University of Nebraska-Lincoln,GCF_001266675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/675/GCA_001266675.1_ASM126667v1,na,na,na,haploid,archaea,2191529,2191529,46,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,07/20/15,2357,2246,49,26430052,67,77.57
GCA_023169565.1,PRJDB8408,SAMD00173596,na,na,43687,43687,Metallosphaera sedula,strain=MJ1HA,na,latest,Complete Genome,Major,Full,22/02/2022,ASM2316956v1,RIKEN,GCF_023169565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/169/565/GCA_023169565.1_ASM2316956v1,na,na,na,haploid,archaea,2283739,2283739,46,1,1,1,RIKEN,Annotation submitted by RIKEN,02/23/22,2625,2574,51,35993221,67,78.1
GCA_000016605.1,PRJNA17447,SAMN02598389,na,na,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,na,latest,Complete Genome,Major,Full,25/04/2007,ASM1660v1,US DOE Joint Genome Institute,GCF_000016605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1,unverified source organism; not used as type,na,na,haploid,archaea,2191517,2191517,46,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,2341,2256,42,18083856,67,77.3
GCA_900095295.1,PRJEB14599,SAMEA4378819,na,representative genome,118062,118062,Methanobacterium congolense,na,Buetzberg,latest,Complete Genome,Major,Full,08/09/2016,MCBB,CEBITEC,GCF_900095295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/295/GCA_900095295.1_MCBB,na,na,na,haploid,archaea,2469575,2469575,38,2,2,2,CEBITEC,Annotation submitted by CEBITEC,12/08/2016,2398,2345,53,na,37,45.18
GCA_030296715.1,PRJDB15044,SAMD00582126,na,na,710191,710191,Methanobacterium ferruginis,strain=NBRC 105197,na,latest,Complete Genome,Major,Full,24/03/2023,ASM3029671v1,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),GCF_030296715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/296/715/GCA_030296715.1_ASM3029671v1,na,assembly from type material,na,haploid,archaea,2803797,2803797,37,1,1,1,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),03/24/23,2979,2931,48,30832757,37,45.05
GCA_000762265.1,PRJNA49593,SAMN03085433,na,na,2162,2162,Methanobacterium formicicum,strain=BRM9,na,latest,Complete Genome,Major,Full,02/10/2014,ASM76226v1,PGgRc,GCF_000762265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/265/GCA_000762265.1_ASM76226v1,na,na,na,haploid,archaea,2449987,2449987,41,1,1,1,PGgRc,Annotation submitted by PGgRc,10/02/2014,2418,2352,52,na,37,47.57
GCA_000953115.1,PRJEB7090,SAMEA2724982,na,na,2162,2162,Methanobacterium formicicum,na,na,latest,Complete Genome,Major,Full,10/09/2014,DSM1535,CEBITEC,GCF_000953115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535,contaminated,na,na,haploid,archaea,2478074,2478074,41,1,1,1,CEBITEC,Annotation submitted by CEBITEC,06/28/20,2459,2409,50,na,37,47.24
GCA_001458655.1,PRJEB7298,SAMEA2779801,na,representative genome,2162,2162,Methanobacterium formicicum,na,Mb9,latest,Complete Genome,Major,Full,16/11/2015,Mb9,CEBITEC,GCF_001458655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9,na,na,na,haploid,archaea,2494510,2494510,41,1,1,1,CEBITEC,Annotation submitted by CEBITEC,11/16/15,2465,2416,49,na,37,47.93
GCA_000191585.1,PRJNA53495,SAMN02232037,na,representative genome,877455,877455,Methanobacterium lacus,strain=AL-21,na,latest,Complete Genome,Major,Full,07/03/2011,ASM19158v1,US DOE Joint Genome Institute,GCF_000191585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/585/GCA_000191585.1_ASM19158v1,na,na,na,haploid,archaea,2583753,2583753,35.5,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,06/08/2015,2584,2493,51,24449792,30,39.07
GCA_000214725.1,PRJNA53561,SAMN00713630,na,representative genome,868131,868131,Methanobacterium paludis,strain=SWAN1,na,latest,Complete Genome,Major,Full,24/05/2011,ASM21472v1,US DOE Joint Genome Institute,GCF_000214725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/725/GCA_000214725.1_ASM21472v1,na,assembly from type material,na,haploid,archaea,2546541,2546541,35.5,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,05/29/14,2500,2397,58,24449792,28,40.64
GCA_030296735.1,PRJDB15044,SAMD00582127,na,na,710190,710190,Methanobacterium petrolearium,strain=NBRC 105198,na,latest,Complete Genome,Major,Full,24/03/2023,ASM3029673v1,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/296/735/GCA_030296735.1_ASM3029673v1,contaminated; not used as type,na,na,haploid,archaea,2532033,2532033,37.5,2,2,2,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),03/24/23,2842,2798,44,30832757,35,42.97
GCA_002813655.1,PRJNA349209,SAMN05928840,na,na,59277,59277,Methanobacterium subterraneum,strain=MO-MB1,na,latest,Complete Genome,Major,Full,07/12/2017,ASM281365v1,Japan Agency for Marine-Earth Science and technology,GCF_002813655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/655/GCA_002813655.1_ASM281365v1,na,na,na,haploid,archaea,2506225,2506225,39,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,10/21/16,2415,2284,50,na,37,46.54
GCA_002813695.1,PRJNA349209,SAMN05928842,na,representative genome,59277,59277,Methanobacterium subterraneum,strain=A8p,na,latest,Complete Genome,Major,Full,07/12/2017,ASM281369v1,Japan Agency for Marine-Earth Science and technology,GCF_002813695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/695/GCA_002813695.1_ASM281369v1,na,assembly from type material,na,haploid,archaea,2515817,2515817,39,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,10/21/16,2437,2347,51,na,37,46.77
GCA_027555045.1,PRJNA674001,SAMN16605913,na,na,145262,145262,Methanothermobacter thermautotrophicus,strain=Z-245,na,latest,Complete Genome,Major,Full,03/01/2023,ASM2755504v1,University of Tuebingen,GCF_027555045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/555/045/GCA_027555045.1_ASM2755504v1,na,na,na,haploid,archaea,1769813,1769813,49,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/09/2020,1852,1775,48,na,60,76.38
GCA_027554905.1,PRJNA674001,SAMN16604535,na,representative genome,145262,145262,Methanothermobacter thermautotrophicus,strain=Delta H,na,latest,Complete Genome,Major,Full,03/01/2023,ASM2755490v1,University of Tuebingen,GCF_027554905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/554/905/GCA_027554905.1_ASM2755490v1,na,assembly from type material,na,haploid,archaea,1751429,1751429,49.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/09/2020,1844,1769,48,na,60,76.61
GCA_000008645.1,PRJNA289,SAMN02603244,na,na,187420,145262,Methanothermobacter thermautotrophicus str. Delta H,strain=Delta H,na,latest,Complete Genome,Major,Full,22/12/1999,ASM864v1,Genome Therapeutics Corporation,GCF_000008645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/645/GCA_000008645.1_ASM864v1,na,assembly from type material,na,haploid,archaea,1751377,1751377,49.5,1,1,1,Genome Therapeutics Corporation,Annotation submitted by Genome Therapeutics Corporation,01/30/14,1916,1869,47,9371463,60,75.36
GCA_900095815.1,PRJEB15255,SAMEA4408318,na,na,145261,145261,Methanothermobacter wolfeii,na,SIV6,latest,Complete Genome,Major,Full,16/12/2016,SIV6,CEBITEC,GCF_900095815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/815/GCA_900095815.1_SIV6,contaminated,na,na,haploid,archaea,1686891,1686891,48.5,1,1,1,CEBITEC,Annotation submitted by CEBITEC,12/16/16,1836,1792,44,na,60,74.56
GCA_025397995.1,PRJNA622823,SAMN30825859,na,representative genome,145261,145261,Methanothermobacter wolfeii,strain=DSM 2970,na,latest,Complete Genome,Major,Full,24/09/2022,ASM2539799v1,NEB,GCF_025397995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/397/995/GCA_025397995.1_ASM2539799v1,na,assembly from type material,na,haploid,archaea,1706705,1706705,48.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),09/16/22,1888,1817,49,na,60,74.45
GCA_019669925.1,PRJDB8301,SAMD00171894,na,representative genome,39441,39441,Methanobrevibacter arboriphilus,strain=SA,na,latest,Complete Genome,Major,Full,02/06/2021,ASM1966992v1,"Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University",GCF_019669925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/669/925/GCA_019669925.1_ASM1966992v1,na,na,na,haploid,archaea,2393271,2393271,25.5,1,1,1,"Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University","Annotation submitted by Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University",06/02/2021,2100,2063,37,na,37,32.2
GCA_001477655.1,PRJNA49589,SAMN03438115,na,na,230361,230361,Methanobrevibacter millerae,strain=SM9,na,latest,Complete Genome,Major,Full,22/12/2015,ASM147765v1,PGgRc,GCF_001477655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/655/GCA_001477655.1_ASM147765v1,na,na,na,haploid,archaea,2543538,2543538,31.5,1,1,1,PGgRc,Annotation submitted by PGgRc,12/22/15,2370,2269,47,na,37,34.65
GCA_001563245.1,PRJNA49591,SAMN04335716,na,representative genome,294671,294671,Methanobrevibacter olleyae,strain=YLM1,na,latest,Complete Genome,Major,Full,18/02/2016,ASM156324v1,PGgRc,GCF_001563245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/245/GCA_001563245.1_ASM156324v1,na,na,na,haploid,archaea,2201192,2201192,26.5,1,1,1,PGgRc,Annotation submitted by PGgRc,05/04/2016,1876,1834,40,27056228,37,40.84
GCA_000024185.1,PRJNA34681,SAMN02603710,na,representative genome,634498,83816,Methanobrevibacter ruminantium M1,strain=M1,na,latest,Complete Genome,Major,Full,05/02/2010,ASM2418v1,Pastoral Greenhouse Gas Research Consortium,GCF_000024185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1,na,assembly from type material,na,haploid,archaea,2937203,2937203,32.5,1,1,1,Pastoral Greenhouse Gas Research Consortium,Annotation submitted by Pastoral Greenhouse Gas Research Consortium,06/25/15,2283,2217,61,20126622,37,36.45
GCA_002813085.1,PRJNA350240,SAMN05935551,na,na,2173,2173,Methanobrevibacter smithii,strain=KB11,na,latest,Complete Genome,Major,Full,06/12/2017,ASM281308v1,KRIBB,GCF_002813085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/085/GCA_002813085.1_ASM281308v1,na,na,na,haploid,archaea,1805545,1805545,31,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,10/25/16,1768,1684,43,na,37,36.57
GCA_022846155.1,PRJDB11902,SAMD00389909,na,na,2173,2173,Methanobrevibacter smithii,strain=CE91-St67,na,latest,Complete Genome,Major,Full,04/02/2022,ASM2284615v1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",GCF_022846155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/155/GCA_022846155.1_ASM2284615v1,na,na,na,haploid,archaea,1791153,1791153,31,1,1,1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN","Annotation submitted by Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",02/03/2022,1756,1719,37,na,37,34.92
GCA_022846175.1,PRJDB11902,SAMD00389910,na,na,2173,2173,Methanobrevibacter smithii,strain=CE91-St68,na,latest,Complete Genome,Major,Full,04/02/2022,ASM2284617v1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",GCF_022846175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/175/GCA_022846175.1_ASM2284617v1,na,na,na,haploid,archaea,1791155,1791155,31,1,1,1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN","Annotation submitted by Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",02/03/2022,1753,1716,37,na,37,34.86
GCA_000016525.1,PRJNA18653,SAMN02604313,na,representative genome,420247,2173,Methanobrevibacter smithii ATCC 35061,strain=ATCC 35061; PS; DSMZ 861,na,latest,Complete Genome,Major,Full,04/06/2007,ASM1652v1,Washington University Center for Genome Sciences,GCF_000016525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1,na,assembly from type material,na,haploid,archaea,1853160,1853160,31,1,1,1,Washington University Center for Genome Sciences,Annotation submitted by Washington University Center for Genome Sciences,01/31/14,1837,1795,42,17563350,37,34.06
