assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,OGT,predicted_OGT,I_fraction,V_fraction,Y_fraction,W_fraction,R_fraction,E_fraction,L_fraction,A_fraction,N_fraction,D_fraction,C_fraction,Q_fraction,G_fraction,H_fraction,K_fraction,M_fraction,F_fraction,P_fraction,S_fraction,T_fraction,B_fraction,Z_fraction,O_fraction,U_fraction,X_fraction,J_fraction,other_fraction
GCA_002443015.2,PRJNA388547,SAMN07311132,,na,293387,293387,Bacillus altitudinis,strain=SGAir0031,,latest,Complete Genome,Major,Full,11/12/2018,ASM244301v2,Nanyang Technological University,GCF_002443015.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/443/015/GCA_002443015.2_ASM244301v2,,,na,25,37.05,0.07297,0.06943,0.0338,0.00956,0.0404,0.07297,0.09793,0.07405,0.03629,0.05213,0.00724,0.04353,0.06772,0.0251,0.07026,0.02886,0.04492,0.03622,0.06033,0.05626,0,0,0,0,0,0,0
GCA_002741745.1,PRJNA414941,SAMN07811392,,na,293387,293387,Bacillus altitudinis,strain=P-10,,latest,Complete Genome,Major,Full,02/11/2017,ASM274174v1,Korea Research Institute of Bioscience and Biotechnology (KRIBB),GCF_002741745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/741/745/GCA_002741745.1_ASM274174v1,,,na,25,36.72,0.07285,0.06985,0.0336,0.00954,0.04019,0.07293,0.09775,0.07482,0.03621,0.0521,0.00727,0.04336,0.06814,0.0249,0.06983,0.02898,0.04493,0.03607,0.06035,0.05633,0,0,0,0,0,0,0
GCA_004563755.2,PRJNA518753,SAMN10857349,,na,293387,293387,Bacillus altitudinis,strain=CHB19,,latest,Complete Genome,Major,Full,12/09/2019,ASM456375v2,Malaysian Agricultural Research And Development Institute,GCF_004563755.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/563/755/GCA_004563755.2_ASM456375v2,,,na,25,36.59,0.07305,0.0695,0.03361,0.00968,0.04011,0.07283,0.09779,0.07436,0.03646,0.05184,0.00719,0.04336,0.06802,0.02469,0.07019,0.02899,0.04506,0.03634,0.06052,0.05639,0,0,0,0,0,0,0
GCA_005849435.1,PRJNA540408,SAMN11534966,,na,293387,293387,Bacillus altitudinis,strain=GQYP101,,latest,Complete Genome,Major,Full,27/05/2019,ASM584943v1,Shandong Agricultural University,GCF_005849435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/849/435/GCA_005849435.1_ASM584943v1,,,na,25,36.87,0.07308,0.06917,0.03386,0.0096,0.04039,0.0731,0.09768,0.07385,0.03656,0.05205,0.00731,0.04341,0.06773,0.02501,0.07045,0.02892,0.04496,0.03607,0.06049,0.05631,0,0,0,0,0,0,0
GCA_013283915.1,PRJNA635810,SAMN15053797,,na,293387,293387,Bacillus altitudinis,strain=11-1-1,,latest,Complete Genome,Major,Full,07/06/2020,ASM1328391v1,"Institute of Microbiology, Belarus National Academy of Sciences",GCF_013283915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/915/GCA_013283915.1_ASM1328391v1,,,na,25,36.49,0.07309,0.06925,0.03371,0.0097,0.04006,0.07316,0.0975,0.07398,0.0366,0.0522,0.00723,0.0433,0.06795,0.02492,0.0706,0.02898,0.04498,0.0362,0.0603,0.05629,0,0,0,0,0,0,0
GCA_013307105.1,PRJNA515152,SAMN10743464,,na,293387,293387,Bacillus altitudinis,strain=SCU11,,latest,Complete Genome,Major,Full,09/06/2020,ASM1330710v1,Sichuan University,GCF_013307105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/307/105/GCA_013307105.1_ASM1330710v1,,,na,25,36.59,0.07315,0.06956,0.03359,0.00957,0.0399,0.07266,0.09814,0.07445,0.03629,0.0518,0.00726,0.0434,0.06817,0.0249,0.06984,0.02901,0.04509,0.0362,0.06057,0.05644,0,0,0,0,0,0,0
GCA_015160895.1,PRJNA670367,SAMN16494637,,na,293387,293387,Bacillus altitudinis,strain=BIM B-263,,latest,Complete Genome,Major,Full,01/11/2020,ASM1516089v1,"Institute of Microbiology, National Academy of Sciences of Belarus",GCF_015160895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/160/895/GCA_015160895.1_ASM1516089v1,,,na,25,37.23,0.07317,0.06948,0.03378,0.00956,0.04006,0.07298,0.09823,0.07417,0.0362,0.05194,0.00721,0.04344,0.06774,0.0252,0.07005,0.02906,0.04515,0.03622,0.06029,0.05607,0,0,0,0,0,0,0
GCA_016767855.1,PRJNA692060,SAMN17313277,,na,293387,293387,Bacillus altitudinis,strain=ws31,,latest,Complete Genome,Major,Full,28/01/2021,ASM1676785v1,Fujian Agriculture and Forestry University,GCF_016767855.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/767/855/GCA_016767855.1_ASM1676785v1,,,na,25,36.48,0.07296,0.06961,0.03356,0.0096,0.03985,0.07285,0.09804,0.07446,0.03622,0.05203,0.00723,0.04345,0.06826,0.02507,0.06979,0.02911,0.045,0.03624,0.06026,0.05642,0,0,0,0,0,0,0
GCA_016807685.1,PRJNA694817,SAMN17574861,,na,293387,293387,Bacillus altitudinis,strain=63-2-2,,latest,Complete Genome,Major,Full,04/02/2021,ASM1680768v1,"Institute of Microbiology, National Academy of Sciences of Belarus",GCF_016807685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/807/685/GCA_016807685.1_ASM1680768v1,,,na,25,37.24,0.07306,0.0696,0.03381,0.00966,0.04,0.07327,0.09786,0.07418,0.03639,0.05209,0.00726,0.04343,0.06769,0.02497,0.07027,0.02891,0.04502,0.03628,0.06024,0.05602,0,0,0,0,0,0,0
GCA_017161205.1,PRJNA681033,SAMN16930279,,na,293387,293387,Bacillus altitudinis,strain=1817,,latest,Complete Genome,Major,Full,03/03/2021,ASM1716120v1,Shanghai Jiao Tong University,GCF_017161205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/161/205/GCA_017161205.1_ASM1716120v1,,,na,25,36.59,0.07317,0.06955,0.03359,0.00957,0.03983,0.07294,0.09792,0.07455,0.03621,0.05202,0.00718,0.04346,0.06829,0.02493,0.0699,0.02906,0.04492,0.03621,0.0603,0.0564,0,0,0,0,0,0,0
GCA_017948365.1,PRJNA720234,SAMN18642715,,na,293387,293387,Bacillus altitudinis,strain=6ww6,,latest,Complete Genome,Major,Full,14/04/2021,ASM1794836v1,Shandong Agricultural University,GCF_017948365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/948/365/GCA_017948365.1_ASM1794836v1,,,na,25,36.71,0.07322,0.06961,0.03364,0.00962,0.03978,0.07305,0.09776,0.07413,0.03656,0.05216,0.00713,0.04334,0.06805,0.02482,0.07032,0.02893,0.04508,0.03615,0.06038,0.05625,0,0,0,0,0,0,0
GCA_019164215.1,PRJNA728205,SAMN19072201,,na,293387,293387,Bacillus altitudinis,strain=LZP 02,,latest,Complete Genome,Major,Full,07/07/2021,ASM1916421v1,Qiqihar University,GCF_019164215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/164/215/GCA_019164215.1_ASM1916421v1,,,na,25,36.57,0.07308,0.06961,0.03358,0.00958,0.03978,0.07305,0.09788,0.0744,0.03623,0.05205,0.00715,0.0435,0.06833,0.02493,0.06984,0.02893,0.04499,0.03636,0.06042,0.05632,0,0,0,0,0,0,0
GCA_019355135.1,PRJNA606382,SAMN14089888,,na,293387,293387,Bacillus altitudinis,strain=SCU11,,latest,Complete Genome,Major,Full,27/07/2021,ASM1935513v1,Sichuan University,GCF_019355135.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/135/GCA_019355135.1_ASM1935513v1,,,na,25,36.55,0.07318,0.06955,0.03362,0.00958,0.03981,0.07273,0.09805,0.07448,0.03635,0.05182,0.00723,0.04336,0.06821,0.02488,0.06992,0.02903,0.04504,0.03617,0.06055,0.05642,0,0,0,0,0,0,0
GCA_021654595.1,PRJDB12076,SAMD00396525,,na,293387,293387,Bacillus altitudinis,strain=TM2,,latest,Complete Genome,Major,Full,19/11/2021,ASM2165459v1,"Laboratory of Life Sciences for Extremophiles, Life Sciences, Toyo University",GCF_021654595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/654/595/GCA_021654595.1_ASM2165459v1,,,na,25,36.87,0.07328,0.06977,0.03365,0.00956,0.03982,0.07287,0.09792,0.07454,0.0362,0.05187,0.00715,0.04346,0.06814,0.02504,0.06987,0.02906,0.04495,0.03623,0.06044,0.05617,0,0,0,0,0,0,0
GCA_021654615.1,PRJDB12077,SAMD00396574,,na,293387,293387,Bacillus altitudinis,strain=NC3,,latest,Complete Genome,Major,Full,19/11/2021,ASM2165461v1,"Laboratory of Life Sciences for Extremophiles, Life Sciences, Toyo University",GCF_021654615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/654/615/GCA_021654615.1_ASM2165461v1,,,na,25,36.88,0.0731,0.06968,0.03364,0.00957,0.03983,0.07312,0.09794,0.07447,0.03632,0.05198,0.0072,0.04343,0.06798,0.02512,0.0699,0.02907,0.04498,0.03614,0.06047,0.05605,0,0,0,0,0,0,0
GCA_022570695.1,PRJNA813403,SAMN26499422,,na,293387,293387,Bacillus altitudinis,strain=JYY-02,,latest,Complete Genome,Major,Full,15/03/2022,ASM2257069v1,Qingdao University,GCF_022570695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/570/695/GCA_022570695.1_ASM2257069v1,,,na,25,36.54,0.07319,0.06968,0.0336,0.00957,0.0397,0.07263,0.09816,0.07461,0.03616,0.05166,0.00717,0.04356,0.06841,0.02502,0.06971,0.02894,0.04497,0.0363,0.06046,0.0565,0,0,0,0,0,0,0
GCA_023823755.1,PRJNA770896,SAMN22304396,,na,293387,293387,Bacillus altitudinis,strain=CMF5,,latest,Complete Genome,Major,Full,21/06/2022,ASM2382375v1,Huazhong Agricultural University,GCF_023823755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/823/755/GCA_023823755.1_ASM2382375v1,,,na,25,36.87,0.07326,0.06954,0.03361,0.00965,0.03992,0.07308,0.09781,0.07442,0.03632,0.05199,0.00717,0.04332,0.0681,0.02491,0.07017,0.02906,0.04488,0.0361,0.06034,0.05635,0,0,0,0,0,0,0
GCA_024380035.1,PRJNA858691,SAMN29751147,,na,293387,293387,Bacillus altitudinis,strain=B12,,latest,Complete Genome,Major,Full,23/07/2022,ASM2438003v1,University of Valladolid,GCF_024380035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/380/035/GCA_024380035.1_ASM2438003v1,,,na,25,36.9,0.07308,0.06965,0.03375,0.00961,0.04004,0.07301,0.09777,0.07462,0.03639,0.05219,0.00717,0.04312,0.06828,0.0248,0.06982,0.02892,0.04483,0.03601,0.06036,0.05658,0,0,0,0,0,0,0
GCA_024397295.1,PRJNA857504,SAMN29628484,,na,293387,293387,Bacillus altitudinis,strain=47,,latest,Complete Genome,Major,Full,25/07/2022,ASM2439729v1,"Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences",GCF_024397295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/397/295/GCA_024397295.1_ASM2439729v1,,,na,25,37.14,0.07326,0.06942,0.03373,0.0096,0.03999,0.0731,0.09806,0.07395,0.0365,0.05213,0.00723,0.04337,0.06754,0.02502,0.07032,0.02911,0.04524,0.0361,0.06044,0.0559,0,0,0,0,0,0,0
GCA_024507855.1,PRJNA607328,SAMN29939565,,na,293387,293387,Bacillus altitudinis,strain=BDGP7,,latest,Complete Genome,Major,Full,03/08/2022,ASM2450785v1,Lawrence Berkeley National Laboratory,GCF_024507855.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/507/855/GCA_024507855.1_ASM2450785v1,,,na,25,37.09,0.07303,0.06953,0.0337,0.00969,0.03989,0.07321,0.09806,0.07425,0.03629,0.05213,0.00717,0.04366,0.06768,0.02489,0.07022,0.02904,0.04509,0.03622,0.06021,0.05604,0,0,0,0,0,0,0
GCA_029537175.1,PRJNA941188,SAMN33591690,,na,293387,293387,Bacillus altitudinis,strain=DSM 103869,,latest,Complete Genome,Major,Full,02/04/2023,ASM2953717v1,University of Copenhagen,GCF_029537175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/537/175/GCA_029537175.1_ASM2953717v1,,,na,25,36.94,0.07322,0.06902,0.03388,0.00967,0.0403,0.07333,0.09753,0.07381,0.03698,0.05222,0.00727,0.04338,0.06721,0.0248,0.07105,0.02891,0.04502,0.03589,0.06039,0.05612,0,0,0,0,0,0,0
GCA_001483885.1,PRJNA301202,SAMN04244584,,na,1390,1390,Bacillus amyloliquefaciens,strain=MBE1283,,latest,Complete Genome,Major,Full,04/01/2016,ASM148388v1,Macrogen Inc,GCF_001483885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/885/GCA_001483885.1_ASM148388v1,,,na,31,33.59,0.07097,0.0665,0.03362,0.00996,0.04413,0.0722,0.096,0.08213,0.0367,0.05171,0.00806,0.0367,0.07263,0.02289,0.06863,0.02743,0.04428,0.03818,0.06236,0.05494,0,0,0,0,0,0,0
GCA_001705195.1,PRJNA338085,SAMN05520945,,na,1390,1390,Bacillus amyloliquefaciens,strain=RD7-7,,latest,Complete Genome,Major,Full,16/08/2016,ASM170519v1,National Academy of Agrigultural Science,GCF_001705195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/195/GCA_001705195.1_ASM170519v1,,,na,31,34.76,0.0717,0.06702,0.03365,0.00986,0.04375,0.07233,0.0963,0.08145,0.03719,0.05183,0.00799,0.03697,0.07155,0.02275,0.06932,0.02772,0.04433,0.03782,0.06195,0.05452,0,0,0,0,0,0,0
GCA_003149695.1,PRJNA453623,SAMN08984034,,na,1390,1390,Bacillus amyloliquefaciens,strain=ALB69,,latest,Complete Genome,Major,Full,23/05/2018,ASM314969v1,"United States Department of Agriculture, Agricultural Research Service",GCF_003149695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/695/GCA_003149695.1_ASM314969v1,,,na,31,34.6,0.07085,0.0667,0.03384,0.00998,0.04443,0.07264,0.09602,0.08189,0.03677,0.052,0.00811,0.03687,0.07187,0.02298,0.06859,0.02748,0.04447,0.03801,0.0621,0.0544,0,0,0,0,0,0,0
GCA_003149715.1,PRJNA453418,SAMN08978284,,na,1390,1390,Bacillus amyloliquefaciens,strain=ALB65,,latest,Complete Genome,Major,Full,23/05/2018,ASM314971v1,"United States Department of Agriculture, Agricultural Research Service",GCF_003149715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/715/GCA_003149715.1_ASM314971v1,,,na,31,33.87,0.07091,0.06641,0.03383,0.00998,0.04408,0.07273,0.09574,0.08169,0.03687,0.05189,0.00808,0.037,0.07216,0.02299,0.06875,0.02749,0.04426,0.03802,0.06228,0.05484,0,0,0,0,0,0,0
GCA_003149795.1,PRJNA453625,SAMN08984036,,na,1390,1390,Bacillus amyloliquefaciens,strain=ALB79,,latest,Complete Genome,Major,Full,23/05/2018,ASM314979v1,"United States Department of Agriculture, Agricultural Research Service",GCF_003149795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/795/GCA_003149795.1_ASM314979v1,,,na,31,34.08,0.07112,0.06638,0.03381,0.00993,0.04412,0.07259,0.09596,0.08161,0.03679,0.05189,0.00822,0.037,0.07222,0.02306,0.06843,0.02748,0.04437,0.03813,0.06225,0.05463,0,0,0,0,0,0,0
GCA_008245105.1,PRJNA521729,SAMN10909879,,na,1390,1390,Bacillus amyloliquefaciens,strain=ARP23,,latest,Complete Genome,Major,Full,03/09/2019,ASM824510v1,Universidad Nacional de Rio Cuarto,GCF_008245105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/245/105/GCA_008245105.1_ASM824510v1,many frameshifted proteins,,na,31,35.27,0.07229,0.06744,0.03343,0.00981,0.0445,0.07195,0.09576,0.08185,0.03714,0.05152,0.0082,0.03664,0.07209,0.0227,0.06788,0.02825,0.04477,0.03768,0.06137,0.05472,0,0,0,0,0,0,0
GCA_008807995.1,PRJNA572567,SAMN12794301,,na,1390,1390,Bacillus amyloliquefaciens,strain=V417,,latest,Complete Genome,Major,Full,03/10/2019,ASM880799v1,"Institute of Bioengineering, Research Center of Biotechnology of RAS",GCF_008807995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/807/995/GCA_008807995.1_ASM880799v1,many frameshifted proteins,,na,31,34.32,0.07118,0.06692,0.03363,0.00992,0.04442,0.0719,0.09617,0.08184,0.03646,0.05138,0.00827,0.0368,0.07208,0.02331,0.06826,0.02822,0.0451,0.03822,0.06188,0.05403,0,0,0,0,0,0,0
GCA_013341255.1,PRJNA637464,SAMN15143286,,na,1390,1390,Bacillus amyloliquefaciens,strain=R8-25,,latest,Complete Genome,Major,Full,14/06/2020,ASM1334125v1,National Chung Hsing University,GCF_013341255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/341/255/GCA_013341255.1_ASM1334125v1,,,na,31,34.09,0.07093,0.06649,0.03369,0.00989,0.04413,0.07269,0.09608,0.08202,0.03672,0.05189,0.00808,0.03698,0.07236,0.02302,0.06844,0.02758,0.04417,0.03803,0.06202,0.05477,0,0,0,0,0,0,0
GCA_014791945.1,PRJNA664439,SAMN16218600,,na,1390,1390,Bacillus amyloliquefaciens,strain=INH2-4b,,latest,Complete Genome,Major,Full,29/09/2020,ASM1479194v1,"United States Department of Agriculture, Agricultural Research Service",GCF_014791945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/791/945/GCA_014791945.1_ASM1479194v1,,,na,31,34.03,0.071,0.06636,0.03382,0.00993,0.04412,0.0728,0.09581,0.0817,0.03686,0.05203,0.00816,0.03707,0.07226,0.02299,0.06852,0.02748,0.04416,0.03809,0.06216,0.05467,0,0,0,0,0,0,0
GCA_018223605.1,PRJNA724021,SAMN18839283,,na,1390,1390,Bacillus amyloliquefaciens,strain=Ba13,,latest,Complete Genome,Major,Full,02/05/2021,ASM1822360v1,Northwest A&F University,GCF_018223605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/223/605/GCA_018223605.1_ASM1822360v1,,,na,31,34.36,0.07137,0.06705,0.03383,0.00985,0.04397,0.07265,0.09549,0.0815,0.0377,0.05251,0.00791,0.03678,0.07161,0.02258,0.06968,0.02738,0.04395,0.03762,0.06178,0.0548,0,0,0,0,0,0,0
GCA_019856555.1,PRJNA758083,SAMN20999035,,na,1390,1390,Bacillus amyloliquefaciens,strain=JP3042,,latest,Complete Genome,Major,Full,02/09/2021,ASM1985655v1,"United States Department of Agriculture, Agricultural Research Service",GCF_019856555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/856/555/GCA_019856555.1_ASM1985655v1,,,na,31,34.7,0.07118,0.06639,0.03396,0.00998,0.04423,0.07273,0.0961,0.08144,0.03708,0.05202,0.00816,0.03723,0.07148,0.02303,0.06868,0.0275,0.04425,0.03802,0.06234,0.05422,0,0,0,0,0,0,0
GCA_019880285.1,PRJNA758220,SAMN21016425,,na,1390,1390,Bacillus amyloliquefaciens,strain=35M,,latest,Complete Genome,Major,Full,05/09/2021,ASM1988028v1,Biology Institute of Henan Academy of Scien,GCF_019880285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/880/285/GCA_019880285.1_ASM1988028v1,,,na,31,34.19,0.07125,0.06699,0.0339,0.00988,0.04405,0.07266,0.09529,0.08143,0.03791,0.05263,0.0079,0.03675,0.07156,0.02253,0.06991,0.02729,0.04387,0.03751,0.06183,0.05486,0,0,0,0,0,0,0
GCA_020971785.1,PRJNA781078,SAMN23230624,,na,1390,1390,Bacillus amyloliquefaciens,strain=ZF57,,latest,Complete Genome,Major,Full,24/11/2021,ASM2097178v1,"Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences",GCF_020971785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/971/785/GCA_020971785.1_ASM2097178v1,,,na,31,34.14,0.07087,0.06672,0.03383,0.00999,0.04427,0.07235,0.09592,0.08227,0.03659,0.05181,0.00808,0.03704,0.07209,0.02301,0.06853,0.02759,0.04434,0.03805,0.06222,0.05443,0,0,0,0,0,0,0
GCA_022559645.1,PRJNA569143,SAMN12792683,,na,1390,1390,Bacillus amyloliquefaciens,strain=ZKY01,,latest,Complete Genome,Major,Full,14/03/2022,ASM2255964v1,Zhongkai University of Agriculture and Engineering,GCF_022559645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/559/645/GCA_022559645.1_ASM2255964v1,,,na,31,33.7,0.07105,0.06597,0.03425,0.01004,0.04389,0.07275,0.09554,0.08064,0.03789,0.05227,0.00821,0.037,0.07156,0.02286,0.06963,0.02733,0.04438,0.03761,0.06244,0.0547,0,0,0,0,0,0,0
GCA_023115375.1,PRJNA828015,SAMN27628424,,na,1390,1390,Bacillus amyloliquefaciens,strain=GL18,,latest,Complete Genome,Major,Full,26/04/2022,ASM2311537v1,Qinghai University,GCF_023115375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/115/375/GCA_023115375.1_ASM2311537v1,,,na,31,34.57,0.07114,0.06676,0.03375,0.00995,0.0441,0.07242,0.0963,0.08199,0.03658,0.0518,0.00817,0.03703,0.0719,0.02324,0.06837,0.02765,0.04444,0.0381,0.06211,0.0542,0,0,0,0,0,0,0
GCA_023278425.1,PRJNA733877,SAMN19461143,,na,1390,1390,Bacillus amyloliquefaciens,strain=CQN-2,,latest,Complete Genome,Major,Full,09/05/2022,ASM2327842v1,Fisheries Research Institute of Fujian,GCF_023278425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/278/425/GCA_023278425.1_ASM2327842v1,,,na,31,34.3,0.07142,0.06634,0.03407,0.00992,0.04401,0.07281,0.09556,0.08088,0.03747,0.05242,0.00805,0.03673,0.07175,0.02283,0.06947,0.02762,0.04433,0.03748,0.06222,0.05463,0,0,0,0,0,0,0
GCA_024452365.1,PRJNA860324,SAMN29840932,,na,1390,1390,Bacillus amyloliquefaciens,strain=B408,,latest,Complete Genome,Major,Full,27/07/2022,ASM2445236v1,Nanjing Normal University,GCF_024452365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/452/365/GCA_024452365.1_ASM2445236v1,,,na,31,33.75,0.07075,0.06679,0.03358,0.00991,0.04416,0.07252,0.09583,0.08249,0.03662,0.05189,0.00802,0.0369,0.07221,0.02296,0.0686,0.02753,0.04423,0.03863,0.06207,0.05433,0,0,0,0,0,0,0
GCA_024584765.1,PRJNA714284,SAMN18298926,,na,1390,1390,Bacillus amyloliquefaciens,strain=CAS02,,latest,Complete Genome,Major,Full,08/08/2022,ASM2458476v1,"Tobacco Research Institute, Chinese Academy of Agricultural Sciences",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/584/765/GCA_024584765.1_ASM2458476v1,,,na,31,34.16,0.07124,0.06652,0.0336,0.00991,0.0441,0.07244,0.09618,0.08201,0.03647,0.05184,0.00805,0.03697,0.07231,0.02303,0.0684,0.0276,0.04436,0.03809,0.06222,0.05466,0,0,0,0,0,0,0
GCA_027594525.1,PRJNA914851,SAMN32359140,,na,1390,1390,Bacillus amyloliquefaciens,strain=MBLB 0692,,latest,Complete Genome,Major,Full,09/01/2023,ASM2759452v1,Korea Atomic Energy Research Institute,GCF_027594525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/594/525/GCA_027594525.1_ASM2759452v1,,,na,31,33.63,0.07042,0.06704,0.03331,0.00987,0.04443,0.07251,0.09583,0.08298,0.03616,0.05184,0.00807,0.03684,0.07252,0.02307,0.06811,0.02753,0.04403,0.03889,0.06201,0.05453,0,0,0,0,0,0,0
GCA_029371985.1,PRJNA868157,SAMN30225127,,na,1390,1390,Bacillus amyloliquefaciens,strain=MBLB0692,,latest,Complete Genome,Major,Full,23/03/2023,ASM2937198v1,Incheon national university,GCF_029371985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/371/985/GCA_029371985.1_ASM2937198v1,,,na,31,33.71,0.07062,0.0671,0.03336,0.00991,0.04427,0.07236,0.09589,0.0829,0.03628,0.05177,0.00804,0.03675,0.07247,0.02302,0.06819,0.0275,0.04411,0.03884,0.06205,0.05457,0,0,0,0,0,0,0
GCA_000196735.1,PRJEA41719,SAMEA2272088,,na,692420,1390,Bacillus amyloliquefaciens DSM 7 = ATCC 23350,strain=DSM 7,,latest,Complete Genome,Major,Full,23/09/2010,ASM19673v1,"Cebitec, Bielefeld University",GCF_000196735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/735/GCA_000196735.1_ASM19673v1,,assembly from type material,na,31,33.72,0.07129,0.06675,0.03387,0.01001,0.04412,0.07228,0.09519,0.08149,0.03759,0.0522,0.00789,0.037,0.07191,0.02241,0.06972,0.02751,0.04399,0.0376,0.06191,0.05525,0,0,0,0,0,0,0
GCA_000195515.1,PRJNA64581,SAMN02603399,,na,999891,1390,Bacillus amyloliquefaciens TA208,strain=TA208,,latest,Complete Genome,Major,Full,08/04/2011,ASM19551v1,"Institute of Microbiology, Chinese Academy of Sciences",GCF_000195515.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/515/GCA_000195515.1_ASM19551v1,,,na,31,34.41,0.07168,0.06677,0.03423,0.00996,0.04372,0.07246,0.09543,0.08062,0.03811,0.05229,0.00801,0.03683,0.07106,0.02257,0.07047,0.02753,0.04449,0.03731,0.06197,0.05449,0,0,0,0,0,0,0
GCA_000242855.2,PRJNA73591,SAMN02603349,,na,1091041,1390,Bacillus amyloliquefaciens IT-45,strain=IT-45,,latest,Complete Genome,Major,Full,13/02/2013,ASM24285v2,"Institut Rosell Lallemand, Inc.",GCF_000242855.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/855/GCA_000242855.2_ASM24285v2,,,na,31,33.93,0.07084,0.06656,0.03357,0.00994,0.0445,0.07259,0.09573,0.08232,0.03672,0.05177,0.00811,0.03691,0.07188,0.02303,0.06898,0.02764,0.04429,0.03839,0.06204,0.05419,0,0,0,0,0,0,0
GCA_000508265.1,PRJNA225659,SAMN02641487,,na,1415165,1390,Bacillus amyloliquefaciens LFB112,strain=LFB112,,latest,Complete Genome,Major,Full,16/12/2013,ASM50826v1,China agricultural university,GCF_000508265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/265/GCA_000508265.1_ASM50826v1,,,na,31,33.49,0.07116,0.06635,0.03352,0.00986,0.04421,0.07229,0.09587,0.08229,0.03674,0.05174,0.00816,0.03678,0.07217,0.02297,0.06902,0.02771,0.04456,0.03802,0.06233,0.05425,0,0,0,0,0,0,0
